arm,c,matched,mismatched,specificity
randrot,0.0,0.1083,0.1083,0.0
randrot,1.0,0.5806,0.0881,0.4925
randrot,1.5,0.5556,0.078,0.4776
randrot,2.0,0.5306,0.071,0.4596
randrot,3.0,0.4417,0.0571,0.3846
