arm,feature,c,dist1,dist2,dist3
dirfix,2851,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,2851,0.5,0.6361185983827493,0.9460916442048517,0.9424977538185085
dirfix,2851,1.0,0.518581081081081,0.8885135135135135,0.9400337837837838
dirfix,2851,1.25,0.4225352112676056,0.7448218724109362,0.8376139188069595
dirfix,2851,1.5,0.3338762214983713,0.6262214983713354,0.7296416938110749
dirfix,2851,2.0,0.13157894736842105,0.2759170653907496,0.35007974481658694
dirfix,2851,2.5,0.0825057295645531,0.16883116883116883,0.22307104660045837
dirfix,2851,3.0,0.04179331306990881,0.08054711246200608,0.11930091185410334
dirfix,3758,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,3758,0.5,0.5894273127753304,0.8907488986784141,0.8951541850220265
dirfix,3758,1.0,0.5104712041884817,0.8577661431064573,0.9162303664921466
dirfix,3758,1.25,0.47810858143607704,0.8458844133099825,0.9194395796847635
dirfix,3758,1.5,0.414612676056338,0.7508802816901409,0.8283450704225352
dirfix,3758,2.0,0.3453887884267631,0.5895117540687161,0.6808318264014467
dirfix,3758,2.5,0.1549421193232413,0.27248441674087265,0.3499554764024933
dirfix,3758,3.0,0.11291702309666382,0.22840034217279725,0.3028229255774166
dirfix,4752,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,4752,0.5,0.6380597014925373,0.9319029850746269,0.9319029850746269
dirfix,4752,1.0,0.6410748560460653,0.9376199616122841,0.9385796545105566
dirfix,4752,1.25,0.6812627291242362,0.9368635437881874,0.9327902240325866
dirfix,4752,1.5,0.689161554192229,0.943762781186094,0.934560327198364
dirfix,4752,2.0,0.6878914405010439,0.9248434237995825,0.9279749478079332
dirfix,4752,2.5,0.6694915254237288,0.940677966101695,0.9353813559322034
dirfix,4752,3.0,0.6817691477885652,0.9492988133764833,0.9341963322545846
dirfix,6046,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,6046,0.5,0.5938325991189427,0.9268722466960353,0.9268722466960353
dirfix,6046,1.0,0.531953195319532,0.8604860486048604,0.8973897389738974
dirfix,6046,1.25,0.4844533600802407,0.835506519558676,0.8746238716148446
dirfix,6046,1.5,0.4396014943960149,0.7447073474470735,0.8144458281444583
dirfix,6046,2.0,0.4778481012658228,0.6424050632911392,0.6360759493670886
dirfix,6046,2.5,0.4782608695652174,0.5217391304347826,0.4782608695652174
dirfix,6046,3.0,0.5753424657534246,0.3972602739726027,0.3972602739726027
dirfix,10134,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,10134,0.5,0.6263250883392226,0.9257950530035336,0.9275618374558304
dirfix,10134,1.0,0.5610200364298725,0.8825136612021858,0.9371584699453552
dirfix,10134,1.25,0.6441893830703013,0.9196556671449068,0.9110473457675753
dirfix,10134,1.5,0.7536231884057971,0.8985507246376812,0.8318840579710145
