arm,c,n_features,d_logppl,d_concept,d_rep4,arm_logppl,ref_logppl
centred,0.0,12,-0.00016305446624720332,0.0,0.0,3.4429269472757986,3.4430900017420445
centred,0.5,12,0.03930712110466413,0.016666666666666666,-0.0002600996454006697,3.9994729691081576,3.960165848003493
centred,1.0,12,-0.01920228004455578,-0.002777777777777782,0.0004254890694678686,5.011805762847264,5.031008042891821
centred,1.5,12,0.05164231757322946,-1.1564823173178713e-18,-0.007814749435649916,5.723093845281336,5.671451527708107
centred,2.0,12,-0.02951379799180559,-0.019444444444444445,-0.0005605674989524294,5.755710976322493,5.7852247743142975
centred,3.0,12,-0.07196937087509368,-0.005555555555555553,0.014798150385392029,5.0716629738609,5.143632344735993
diffmeans,0.0,12,-0.00014913413259694716,0.0,0.0,3.442940867609449,3.4430900017420445
diffmeans,0.5,12,0.09360555311044054,0.013888888888888888,0.000463762735182112,4.053771401113934,3.960165848003493
diffmeans,1.0,12,0.3932161937157312,0.008333333333333325,-0.0049135611414590444,5.424224236607551,5.031008042891821
diffmeans,1.5,12,0.09558714611662762,3.469446951953614e-18,-0.0245041262028652,5.767038673824735,5.671451527708107
diffmeans,2.0,12,-0.07983130878872356,-2.8912057932946786e-18,-0.06338331926167028,5.7053934655255745,5.7852247743142975
diffmeans,3.0,12,-0.11703030698829232,0.05277777777777778,-0.05121122180867312,5.026602037747701,5.143632344735993
diffmeans_purified,0.0,12,-0.00015474955240879495,0.0,0.0,3.442935252189636,3.4430900017420445
diffmeans_purified,0.5,12,0.1018373323811425,0.008333333333333333,0.0014860870781567435,4.062003180384635,3.960165848003493
diffmeans_purified,1.0,12,0.4466689354843563,-0.008333333333333345,-0.005190318897528417,5.477676978376177,5.031008042891821
diffmeans_purified,1.5,12,0.16380300604634815,-0.027777777777777773,-0.02899357184130164,5.835254533754455,5.671451527708107
diffmeans_purified,2.0,12,-0.024344982869095217,-0.01388888888888889,-0.0705938816479073,5.760879791445203,5.7852247743142975
diffmeans_purified,3.0,12,0.09080231024159313,0.05833333333333333,-0.08619889904312598,5.234434654977586,5.143632344735993
dirfix,0.0,12,-0.0001734097798662404,0.0,0.0,3.442916591962179,3.4430900017420445
dirfix,0.5,12,-0.19330157637596135,0.019444444444444448,0.003376734848360623,3.7668642716275325,3.960165848003493
dirfix,1.0,12,-0.6628991905185913,0.28055555555555556,0.026799991480827803,4.368108852373229,5.031008042891821
dirfix,1.5,12,-1.0264382994837231,0.39166666666666666,0.05490067531788647,4.645013228224384,5.671451527708107
dirfix,2.0,12,-1.2586070934931437,0.4222222222222222,0.07088291846513654,4.526617680821154,5.7852247743142975
dirfix,3.0,12,-1.500848275754187,0.44999999999999996,0.10967345871182503,3.6427840689818063,5.143632344735993
purified,0.0,12,-8.115768432611266e-05,0.0,0.0,3.4430088440577187,3.4430900017420445
purified,0.5,12,0.035496909419695556,-0.013888888888888886,8.062285049423967e-05,3.995662757423189,3.960165848003493
purified,1.0,12,0.0631873740090263,-0.016666666666666666,-0.005235985015366325,5.094195416900847,5.031008042891821
purified,1.5,12,0.08613398406240665,0.011111111111111105,-0.019102262177134243,5.757585511770514,5.671451527708107
purified,2.0,12,0.09533958103921676,-0.022222222222222216,-0.03332363120557901,5.880564355353514,5.7852247743142975
purified,3.0,12,0.10978249477015606,-0.005555555555555554,-0.015517345039646786,5.253414839506149,5.143632344735993
rotate,0.0,12,-0.00022455056508352556,0.0,0.0,3.442865451176962,3.4430900017420445
rotate,0.5,12,0.018464266260465045,0.011111111111111113,0.0010734002256245561,3.978630114263959,3.960165848003493
rotate,1.0,12,0.36001109480857835,-0.08333333333333333,-0.005275339442124871,5.391019137700398,5.031008042891821
rotate,1.5,12,0.3694277372625139,-0.1527777777777778,-0.0014085118130429607,6.040879264970621,5.671451527708107
rotate,2.0,12,-0.6205699001749357,-0.14722222222222223,0.004424590889141295,5.164654874139361,5.7852247743142975
rotate,3.0,12,1.0527569966183767,-0.05277777777777778,-0.1289743703944892,6.19638934135437,5.143632344735993
shared,0.0,12,-2.2526582082127433e-05,0.0,0.0,3.4430674751599626,3.4430900017420445
shared,0.5,12,-0.6478835794660781,-2.3129646346357427e-18,0.0045994577780728,3.3122822685374156,3.960165848003493
shared,1.0,12,-1.6750850861271225,0.30833333333333335,0.11809679510794026,3.3559229567646987,5.031008042891821
shared,1.5,12,-2.7583761020667024,0.48611111111111116,0.3279712000413755,2.913075425641404,5.671451527708107
shared,2.0,12,-3.2952061895694995,0.5750000000000001,0.46080895915419817,2.490018584744797,5.7852247743142975
shared,3.0,12,-3.069222405304512,0.6694444444444444,0.5273373477969062,2.074409939431482,5.143632344735993
