match_mode,arm,group,n_pairs,n_matched,n_skipped,skip_frac,n_features,mean_d_logppl,d_logppl_lo95,d_logppl_hi95,mean_d_keyword_hit,d_keyword_hit_lo95,d_keyword_hit_hi95,mean_d_rep4,d_rep4_lo95,d_rep4_hi95
rep4,centred,all,72,71,1,0.013888888888888888,12,-0.8904777097742489,-1.365476098438573,-0.34448630253851553,0.01599748744277817,-0.06236624565364514,0.09341976864641295,,,
rep4,centred,c_n=0.0,12,12,0,0.0,12,-0.00016305446624720332,-0.00016305446624720332,-0.00016305446624720332,0.0,0.0,0.0,,,
rep4,centred,c_n=0.5,12,12,0,0.0,12,0.03790309567723912,-0.03418628429373116,0.14747731173292872,0.01677760854427388,-0.016666666666666666,0.07255504785504387,,,
rep4,centred,c_n=1.0,12,11,1,0.08333333333333333,11,-1.1488046551660918,-1.5232822702794582,-0.712345909791764,-0.16191394911034296,-0.35376205293387963,0.023775802616374107,,,
rep4,centred,c_n=1.5,12,12,0,0.0,12,-1.4586518733284157,-2.2582192854698024,-0.5231373460535701,-0.023959037033486494,-0.17847935860391054,0.12829792195656356,,,
rep4,centred,c_n=2.0,12,12,0,0.0,12,-1.5619167441280088,-2.5421782475533536,-0.3761347752669847,0.06937576406346405,-0.01977321908550228,0.16152157829521072,,,
rep4,centred,c_n=3.0,12,12,0,0.0,12,-1.2327602726832882,-2.2182796033550423,-0.13949203892491313,0.18087858514666713,0.07321977013242421,0.3082420371846672,,,
rep4,diffmeans,all,72,69,3,0.041666666666666664,12,-0.7605797516337264,-1.235144113805854,-0.2116304987158047,0.018136712354812064,-0.07105614759008293,0.1316095166915244,,,
rep4,diffmeans,c_n=0.0,12,12,0,0.0,12,-0.00014913413259694716,-0.00017268657684299527,-0.00011638740698477311,0.0,0.0,0.0,,,
rep4,diffmeans,c_n=0.5,12,12,0,0.0,12,0.3469386878940896,-0.06588344377675655,0.8896918619785039,0.029237363443983738,-0.06476263655601629,0.13712625233287265,,,
rep4,diffmeans,c_n=1.0,12,12,0,0.0,12,-0.9077488913853112,-1.2400073491378596,-0.5627468181720298,-0.1591244510300853,-0.34106430161500634,0.02044926560934814,,,
rep4,diffmeans,c_n=1.5,12,11,1,0.08333333333333333,11,-1.3263789321671517,-2.0983706292838056,-0.3747712441774815,-0.01882930608539677,-0.19754191292300355,0.19090909090909092,,,
rep4,diffmeans,c_n=2.0,12,11,1,0.08333333333333333,11,-1.6316591793000612,-2.5886310046351886,-0.46907406270190494,0.06975101692858564,-0.036363636363636355,0.20587493072624474,,,
rep4,diffmeans,c_n=3.0,12,11,1,0.08333333333333333,11,-1.2009155986456317,-2.1282229756319486,-0.0941312596093398,0.20453994402183395,0.0889947985340312,0.3515151515151515,,,
rep4,diffmeans_purified,all,72,67,5,0.06944444444444445,12,-0.8286442476421377,-1.294674321030622,-0.2692945309056859,-0.0020287515183449885,-0.10291240321439124,0.11956836464416797,,,
