arm,endpoint_mean,endpoint_median,n_features,endpoint_on_common,n_common,boot_mean,boot_lo95,boot_hi95,n_valid,delta_mean,delta_lo95,delta_hi95,p_gt_0
cds,0.40264177494172165,0.4109956253848377,12,0.40264177494172165,12,0.4081514244460255,0.3030241093047854,0.5257199830526555,2000,-0.13285145423358016,-0.25742216395397083,-0.023379134031636592,0.008
clean,0.0861111111111111,0.03333333333333333,12,0.0861111111111111,12,0.08538181818181817,0.019444444444444445,0.1722222222222222,2000,-0.45562106049778744,-0.6369360188673119,-0.28131174855251384,0.0
denoise_naive,0.4374942659976315,0.4087393126803362,12,0.4374942659976315,12,0.4485338377462629,0.31960144306202254,0.5773185881226518,2000,-0.09246904093334271,-0.2518456533336307,0.036808648548780555,0.098
fsr,0.5266110002835652,0.49608080511834396,12,0.5266110002835652,12,0.5496384939056455,0.4081593939742166,0.6927575321005084,2000,0.008635615226039754,-0.04851746468144382,0.07721151752859833,0.626
mts,0.18490770142971,0.11546473876541635,12,0.18490770142971,12,0.19760141621810365,0.10128965350776091,0.3205951262679887,2000,-0.343401462461502,-0.515301197769269,-0.1772159356462625,0.0
naive,0.5342138930660357,0.5019668590887795,12,0.5342138930660357,12,0.5410028786796056,0.39971949960630204,0.6870610181574299,2000,0.0,0.0,0.0,0.0
norm_preserving,0.3785974246854816,0.4000985280076645,12,0.3785974246854816,12,0.40552432625123447,0.2928592041166417,0.5146997166310826,2000,-0.13547855242837112,-0.27388474633892856,-0.025321187570234938,0.004
