arm,n_cells,n_features,d_logppl,logppl_lo95,logppl_hi95,d_concept,concept_lo95,concept_hi95,p_dominates
shared,72,12,-1.9800177457018033,-2.618241855963651,-1.3595562179748804,0.47870370370370374,0.31572916666666667,0.6347685185185182,1.0
dirfix,72,12,-1.1655202536395304,-1.8298436107486487,-0.4975670557006927,0.3685185185185185,0.19119212962962964,0.5532523148148148,0.9995
residual,72,12,0.241363989037496,0.07487876386485161,0.42456132880653474,0.06064814814814815,0.020833333333333332,0.10047453703703699,0.0005
antimanifold,72,12,0.09922436202565829,-0.013305943408222063,0.21286059849930025,0.05185185185185185,0.03009259259259259,0.07175925925925926,0.04
shared_only,72,12,-1.9851121681155979,-3.008975313769964,-0.7206449143754114,-0.18287037037037035,-0.27222222222222225,-0.10182870370370382,0.0
