feature,c,arm,total_energy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
3272,1.0,naive,3675.78369140625,679.9786987304688,652.2703857421875,729.0100708007812,449.856201171875,434.7087707519531,209.87893676757812,139.884033203125,97.41067504882812,80.81649017333984,46.125343322753906,44.68744659423828,22.931354522705078,25.98480796813965,24.199575424194336,17.68610954284668,20.354726791381836
3272,1.0,denoise_naive,1958.5711669921875,437.19720458984375,320.22698974609375,292.8596496582031,188.72994995117188,166.14361572265625,102.83467102050781,82.30586242675781,69.64759826660156,58.77525329589844,48.38402557373047,43.565223693847656,36.139732360839844,34.456947326660156,29.995384216308594,25.50721549987793,21.801864624023438
3272,1.0,cds,4669.7041015625,1065.32958984375,829.572509765625,814.7128295898438,501.1581726074219,451.40496826171875,240.04376220703125,174.18014526367188,134.5199737548828,108.52565002441406,76.45553588867188,68.8890380859375,48.461158752441406,48.578365325927734,41.76963424682617,33.39830780029297,32.70463562011719
3272,1.0,mts,12801.5234375,12058.4609375,336.5499267578125,210.66693115234375,87.85343933105469,60.217281341552734,22.83780288696289,11.225107192993164,5.801226615905762,3.6175990104675293,1.5963599681854248,1.2203266620635986,0.491557240486145,0.43615972995758057,0.3095209300518036,0.16815587878227234,0.07081898301839828
3272,2.0,naive,14703.134765625,2719.914794921875,2609.08154296875,2916.040283203125,1799.4248046875,1738.8350830078125,839.5157470703125,559.5361328125,389.6427307128906,323.2659606933594,184.50137329101562,178.74978637695312,91.72541046142578,103.93922424316406,96.79830169677734,70.74443817138672,81.41889953613281
3272,2.0,denoise_naive,3945.40283203125,1134.388427734375,651.0751953125,503.45587158203125,327.6500244140625,269.6773376464844,184.62454223632812,152.52664184570312,133.35101318359375,112.93634033203125,96.21533203125,84.76177215576172,71.85600280761719,67.3448715209961,58.2360954284668,48.63018035888672,48.67329406738281
3272,2.0,cds,17377.85546875,4329.244140625,3189.1064453125,3079.304443359375,1845.0970458984375,1641.208984375,837.9122314453125,588.7625732421875,445.1348876953125,353.01202392578125,233.0706787109375,211.7064208984375,137.8297576904297,143.6139373779297,123.46553039550781,95.09349822998047,124.29380798339844
3272,2.0,mts,51206.09765625,48233.84375,1346.19970703125,842.6676025390625,351.41375732421875,240.869140625,91.35121154785156,44.900421142578125,23.20490837097168,14.47039794921875,6.385441780090332,4.8813066482543945,1.9662288427352905,1.74463951587677,1.238084077835083,0.6726239919662476,0.2832760512828827
16355,1.0,naive,1590.4219970703125,228.8281707763672,203.07510375976562,241.60060119628906,126.81077575683594,139.35855102539062,109.415771484375,125.21781921386719,91.20530700683594,66.88494873046875,61.729652404785156,49.76763916015625,48.192649841308594,33.67878341674805,24.886762619018555,22.213481903076172,17.555999755859375
16355,1.0,denoise_naive,1035.5595703125,156.11614990234375,127.50335693359375,139.98068237304688,84.87872314453125,85.63591003417969,68.5508041381836,74.76176452636719,59.063690185546875,46.166290283203125,41.50043487548828,35.02040481567383,32.6536979675293,27.865310668945312,21.983379364013672,19.253938674926758,14.625077247619629
16355,1.0,cds,2007.837646484375,332.92962646484375,263.2930908203125,291.55694580078125,164.66552734375,168.85699462890625,131.83627319335938,146.53067016601562,110.63330078125,82.46540832519531,73.90234375,59.62160873413086,55.833404541015625,44.07533264160156,32.667442321777344,28.287456512451172,20.682209014892578
16355,1.0,mts,5544.26953125,4977.94140625,240.94036865234375,152.01747131347656,55.73231506347656,42.36958312988281,24.90599822998047,20.2255859375,11.605400085449219,6.3968915939331055,4.577788352966309,2.8849897384643555,2.189394950866699,1.1840696334838867,0.6739905476570129,0.455066442489624,0.16831833124160767
16355,2.0,naive,6361.68798828125,915.3126831054688,812.3004760742188,966.4024047851562,507.2431335449219,557.4342041015625,437.6630859375,500.87127685546875,364.82122802734375,267.539794921875,246.9185791015625,199.070556640625,192.77061462402344,134.71514892578125,99.54704284667969,88.85392761230469,70.2239990234375
16355,2.0,denoise_naive,2476.310546875,459.2149963378906,325.99127197265625,329.1551208496094,207.309814453125,196.07546997070312,154.99600219726562,161.43077087402344,130.10568237304688,101.70783233642578,87.57225036621094,73.72763061523438,67.7300033569336,61.56224822998047,47.7337646484375,40.269527435302734,31.72808074951172
16355,2.0,cds,7749.71630859375,1365.12744140625,1052.0458984375,1153.373779296875,636.93701171875,648.3429565429688,496.63287353515625,552.1719360351562,414.93975830078125,303.6177978515625,266.5049133300781,212.50762939453125,198.42514038085938,159.5277099609375,114.77581024169922,97.34962463378906,77.43614196777344
16355,2.0,mts,22177.078125,19911.767578125,963.7614135742188,608.0699462890625,222.92922973632812,169.47833251953125,99.62399291992188,80.90235900878906,46.421600341796875,25.58756446838379,18.31114959716797,11.539960861206055,8.757579803466797,4.7362775802612305,2.6959614753723145,1.8202662467956543,0.6732732057571411
