denoiser,feature,c,shrink,tau,tau_sd,erase,perp_frac,delta_rel_norm
mlp_gauss_cond1_s0,24487,0.5,0.05,0.7818112969398499,0.11595437675714493,0.21818870306015015,0.7914317846298218,0.513914942741394
mlp_gauss_cond1_s0,24487,1.0,0.05,0.6967613101005554,0.1034315899014473,0.3032386898994446,0.6917654275894165,0.5592324733734131
mlp_gauss_cond1_s0,24487,1.5,0.05,0.6172997951507568,0.09011662751436234,0.38270023465156555,0.5848380327224731,0.5990628600120544
mlp_gauss_cond1_s0,24487,2.0,0.05,0.5474010109901428,0.07753174751996994,0.4525989890098572,0.4886181056499481,0.6351635456085205
mlp_gauss_cond1_s0,24487,3.0,0.05,0.4347240924835205,0.05707215517759323,0.5652759075164795,0.3459031581878662,0.6995297074317932
mlp_gauss_cond1_s0,10388,0.5,0.05,0.7772729992866516,0.13664473593235016,0.2227270007133484,0.7996309995651245,0.5430037379264832
mlp_gauss_cond1_s0,10388,1.0,0.05,0.6947940587997437,0.12610341608524323,0.30520597100257874,0.7119626998901367,0.5851879715919495
mlp_gauss_cond1_s0,10388,1.5,0.05,0.6193031072616577,0.11222854256629944,0.3806968927383423,0.6170037984848022,0.6210988759994507
mlp_gauss_cond1_s0,10388,2.0,0.05,0.5523087382316589,0.09848285466432571,0.44769126176834106,0.5268118381500244,0.6530243754386902
mlp_gauss_cond1_s0,10388,3.0,0.05,0.44257819652557373,0.07539130747318268,0.5574218034744263,0.38333290815353394,0.7101359963417053
mlp_gauss_cond1_s0,17242,0.5,0.05,0.7876346111297607,0.06567766517400742,0.21236538887023926,0.8288291692733765,0.543606162071228
mlp_gauss_cond1_s0,17242,1.0,0.05,0.6922143697738647,0.058101583272218704,0.30778560042381287,0.7167465686798096,0.5929919481277466
mlp_gauss_cond1_s0,17242,1.5,0.05,0.6047399640083313,0.05043749511241913,0.3952600359916687,0.6015602350234985,0.6346362829208374
mlp_gauss_cond1_s0,17242,2.0,0.05,0.5303598046302795,0.04305880889296532,0.46964019536972046,0.5018214583396912,0.6707387566566467
mlp_gauss_cond1_s0,17242,3.0,0.05,0.4160107374191284,0.03102525882422924,0.5839892625808716,0.3580356240272522,0.7313078045845032
mlp_gauss_cond1_s0,1171,0.5,0.05,0.7385107278823853,0.1022040918469429,0.26148927211761475,0.7514301538467407,0.5421046018600464
mlp_gauss_cond1_s0,1171,1.0,0.05,0.6118763089179993,0.07945876568555832,0.38812369108200073,0.5766619443893433,0.5999897718429565
mlp_gauss_cond1_s0,1171,1.5,0.05,0.5072768926620483,0.06208844482898712,0.4927230775356293,0.427645742893219,0.6522529125213623
mlp_gauss_cond1_s0,1171,2.0,0.05,0.424480676651001,0.04918176680803299,0.575519323348999,0.32301872968673706,0.6998040676116943
mlp_gauss_cond1_s0,1171,3.0,0.05,0.3113502264022827,0.03182533383369446,0.6886497735977173,0.20133736729621887,0.770625650882721
mlp_gauss_cond1_s0,8475,0.5,0.05,0.7740424275398254,0.13678371906280518,0.22595757246017456,0.7934854626655579,0.5428382158279419
mlp_gauss_cond1_s0,8475,1.0,0.05,0.6759494543075562,0.12581966817378998,0.32405057549476624,0.6861100196838379,0.5924317836761475
mlp_gauss_cond1_s0,8475,1.5,0.05,0.5895286798477173,0.1099899485707283,0.4104712903499603,0.5749890208244324,0.633875846862793
mlp_gauss_cond1_s0,8475,2.0,0.05,0.515613317489624,0.09423619508743286,0.484386682510376,0.4757261872291565,0.6702935695648193
mlp_gauss_cond1_s0,8475,3.0,0.05,0.39934253692626953,0.06858097016811371,0.6006574630737305,0.3293585479259491,0.7336029410362244
mlp_gauss_cond1_s0,21592,0.5,0.05,0.7028637528419495,0.12273962795734406,0.29713624715805054,0.7080991864204407,0.5655666589736938
mlp_gauss_cond1_s0,21592,1.0,0.05,0.5562451481819153,0.090018130838871,0.4437548518180847,0.5014305114746094,0.6300278902053833
mlp_gauss_cond1_s0,21592,1.5,0.05,0.44207221269607544,0.06632724404335022,0.5579277873039246,0.34563928842544556,0.6897543668746948
mlp_gauss_cond1_s0,21592,2.0,0.05,0.3562992811203003,0.049731042236089706,0.6437007188796997,0.24741314351558685,0.7418847680091858
mlp_gauss_cond1_s0,21592,3.0,0.05,0.25424301624298096,0.0287372674793005,0.745756983757019,0.14388501644134521,0.8059297800064087
mlp_mix_cond1_s0,24487,0.5,0.05,0.8006527423858643,0.08089262992143631,0.19934725761413574,0.8429777026176453,0.5418884754180908
mlp_mix_cond1_s0,24487,1.0,0.05,0.6938299536705017,0.07691239565610886,0.3061700463294983,0.719492495059967,0.5935723781585693
mlp_mix_cond1_s0,24487,1.5,0.05,0.5987726449966431,0.06838613003492355,0.40122735500335693,0.5951986312866211,0.6377852559089661
mlp_mix_cond1_s0,24487,2.0,0.05,0.5164847373962402,0.05905066430568695,0.4835152328014374,0.4849601984024048,0.677440345287323
mlp_mix_cond1_s0,24487,3.0,0.05,0.3850651979446411,0.04293429106473923,0.6149348020553589,0.3218522369861603,0.7479835748672485
mlp_mix_cond1_s0,10388,0.5,0.05,0.7821897268295288,0.1010269969701767,0.2178102731704712,0.8377975225448608,0.5826637744903564
mlp_mix_cond1_s0,10388,1.0,0.05,0.6743711233139038,0.09739292412996292,0.3256288766860962,0.7239432334899902,0.6358820796012878
mlp_mix_cond1_s0,10388,1.5,0.05,0.5789175033569336,0.08833960443735123,0.4210824966430664,0.6096988916397095,0.680980920791626
mlp_mix_cond1_s0,10388,2.0,0.05,0.4969267249107361,0.07777445018291473,0.5030732750892639,0.5066017508506775,0.7196058034896851
mlp_mix_cond1_s0,10388,3.0,0.05,0.3675466775894165,0.0585273839533329,0.6324533224105835,0.34863510727882385,0.7847559452056885
mlp_mix_cond1_s0,17242,0.5,0.05,0.8150440454483032,0.061463162302970886,0.18495595455169678,0.8925906419754028,0.6112995147705078
mlp_mix_cond1_s0,17242,1.0,0.05,0.6931960582733154,0.05782991647720337,0.30680394172668457,0.7707182168960571,0.6618114709854126
mlp_mix_cond1_s0,17242,1.5,0.05,0.5867483615875244,0.05129624158143997,0.4132516086101532,0.640663743019104,0.7011717557907104
mlp_mix_cond1_s0,17242,2.0,0.05,0.49882471561431885,0.043772920966148376,0.5011752843856812,0.5248138308525085,0.7341959476470947
mlp_mix_cond1_s0,17242,3.0,0.05,0.3673517107963562,0.03070612996816635,0.6326482892036438,0.3540632128715515,0.7901110649108887
mlp_mix_cond1_s0,1171,0.5,0.05,0.6941746473312378,0.08698754012584686,0.3058253824710846,0.7403436899185181,0.6152085065841675
mlp_mix_cond1_s0,1171,1.0,0.05,0.5202389359474182,0.07112742960453033,0.4797610640525818,0.5209381580352783,0.696587324142456
mlp_mix_cond1_s0,1171,1.5,0.05,0.39104920625686646,0.05467602238059044,0.6089507937431335,0.3588911294937134,0.761638879776001
mlp_mix_cond1_s0,1171,2.0,0.05,0.29543131589889526,0.04165121167898178,0.7045686841011047,0.2529929578304291,0.815631628036499
mlp_mix_cond1_s0,1171,3.0,0.05,0.17643803358078003,0.02436433732509613,0.82356196641922,0.13937175273895264,0.8878490328788757
mlp_mix_cond1_s0,8475,0.5,0.05,0.7665141820907593,0.10203062742948532,0.23348578810691833,0.8167136907577515,0.5827019214630127
mlp_mix_cond1_s0,8475,1.0,0.05,0.634496808052063,0.1010473445057869,0.365503191947937,0.67034912109375,0.6485599875450134
mlp_mix_cond1_s0,8475,1.5,0.05,0.5242496132850647,0.09090523421764374,0.4757503867149353,0.5367176532745361,0.7034042477607727
mlp_mix_cond1_s0,8475,2.0,0.05,0.43412792682647705,0.07824277877807617,0.565872073173523,0.42726874351501465,0.7496562600135803
mlp_mix_cond1_s0,8475,3.0,0.05,0.2990736961364746,0.05578571930527687,0.7009263038635254,0.2766759395599365,0.8247145414352417
mlp_mix_cond1_s0,21592,0.5,0.05,0.6608766317367554,0.09795721620321274,0.33912336826324463,0.7042226791381836,0.637430727481842
mlp_mix_cond1_s0,21592,1.0,0.05,0.47334325313568115,0.07514645159244537,0.5266567468643188,0.4650866389274597,0.7223364114761353
mlp_mix_cond1_s0,21592,1.5,0.05,0.3394535183906555,0.054354071617126465,0.6605464816093445,0.3024192154407501,0.7913758754730225
mlp_mix_cond1_s0,21592,2.0,0.05,0.24405354261398315,0.039373863488435745,0.7559464573860168,0.20372843742370605,0.8472881317138672
mlp_mix_cond1_s0,21592,3.0,0.05,0.14130789041519165,0.020919959992170334,0.8586921095848083,0.1051945835351944,0.9077861905097961
wiener:1.0,24487,0.5,0.05,0.4422476291656494,8.074537305446938e-08,0.5577523708343506,0.0992203801870346,0.5876681804656982
wiener:1.0,24487,1.0,0.05,0.4422476291656494,6.199476842994045e-08,0.5577523708343506,0.0992203876376152,0.5876681804656982
wiener:1.0,24487,1.5,0.05,0.44224750995635986,7.040820548809279e-08,0.5577524900436401,0.0992203801870346,0.5876681804656982
wiener:1.0,24487,2.0,0.05,0.4422476291656494,6.193175750013324e-08,0.5577523708343506,0.0992203801870346,0.5876681804656982
wiener:1.0,24487,3.0,0.05,0.44224750995635986,5.116121215564817e-08,0.5577524900436401,0.0992203801870346,0.5876681804656982
wiener:1.0,10388,0.5,0.05,0.4346350431442261,9.168853409846633e-08,0.5653649568557739,0.10519770532846451,0.5976753234863281
wiener:1.0,10388,1.0,0.05,0.4346350431442261,6.078647629692568e-08,0.5653649568557739,0.1051977351307869,0.5976753234863281
wiener:1.0,10388,1.5,0.05,0.4346350431442261,6.145361908238556e-08,0.5653649568557739,0.1051977202296257,0.5976753234863281
wiener:1.0,10388,2.0,0.05,0.4346350431442261,4.741184511658503e-08,0.5653649568557739,0.10519774258136749,0.5976753234863281
wiener:1.0,10388,3.0,0.05,0.4346350431442261,5.812341541400201e-08,0.5653649568557739,0.1051977127790451,0.5976753234863281
wiener:1.0,17242,0.5,0.05,0.440332293510437,6.857294465589803e-08,0.559667706489563,0.1333129107952118,0.6011724472045898
wiener:1.0,17242,1.0,0.05,0.440332293510437,5.163384031448004e-08,0.559667706489563,0.1333129107952118,0.6011724472045898
wiener:1.0,17242,1.5,0.05,0.440332293510437,4.934854658245058e-08,0.559667706489563,0.1333128809928894,0.6011724472045898
wiener:1.0,17242,2.0,0.05,0.440332293510437,4.923413854385217e-08,0.559667706489563,0.1333128958940506,0.6011724472045898
wiener:1.0,17242,3.0,0.05,0.440332293510437,4.761270488984337e-08,0.559667706489563,0.1333128809928894,0.6011724472045898
wiener:1.0,1171,0.5,0.05,0.44734227657318115,6.289781850910003e-08,0.5526577234268188,0.10907794535160065,0.5855127573013306
wiener:1.0,1171,1.0,0.05,0.44734227657318115,5.206887010444916e-08,0.5526577234268188,0.10907794535160065,0.5855127573013306
wiener:1.0,1171,1.5,0.05,0.44734227657318115,5.5402846754759594e-08,0.5526577234268188,0.10907796025276184,0.5855127573013306
wiener:1.0,1171,2.0,0.05,0.44734227657318115,4.9462688167523083e-08,0.5526577234268188,0.10907794535160065,0.5855127573013306
wiener:1.0,1171,3.0,0.05,0.44734227657318115,5.918102985447149e-08,0.5526577234268188,0.10907796025276184,0.5855127573013306
wiener:1.0,8475,0.5,0.05,0.4280301332473755,9.845946635778091e-08,0.5719698667526245,0.08526326715946198,0.5980329513549805
wiener:1.0,8475,1.0,0.05,0.4280301332473755,6.810958552705415e-08,0.5719698667526245,0.08526325225830078,0.5980329513549805
wiener:1.0,8475,1.5,0.05,0.4280301332473755,5.5073016369533434e-08,0.5719698667526245,0.08526323735713959,0.5980329513549805
