matching,d_logppl,logppl_lo95,logppl_hi95,d_concept,concept_lo95,concept_hi95,p_dominates,n_cells,n_features
equal norm (same c),-1.0934806822902625,-1.8843662628503863,-0.41049032336169944,0.3111111111111111,0.12451388888888891,0.5028009259259257,0.9995,72,12
equal concept coordinate (naive at cos*c),-1.0457182245602943,-1.8059578979311957,-0.42323003424386224,0.29305486908113515,0.12632888660662706,0.4650034919277661,0.9995,72,12
