arm,target_concept,d_nll_vs_ref_point,boot_mean,lo95,hi95,n_valid,n_boot,share_target_unreachable
dirfix,0.25,-0.07379642321513824,-0.10755161225915356,-0.5029136673825176,0.061011694814644635,1810,2000,0.09499999999999997
dirfix,0.3,-0.11732943424382603,-0.1527111027785489,-0.6637294945810348,0.05347131502532099,1726,2000,0.137
dirfix,0.4,-0.20439545630120115,-0.12054375243495849,-0.319105066098444,0.047481765102256546,1406,2000,0.29700000000000004
rotate,0.25,-0.06069788310085089,0.06287452606626823,-0.23369376454625934,0.7976798465780535,1810,2000,0.09499999999999997
rotate,0.3,-0.010777091533304528,0.11644761855075587,-0.1710401879042056,0.988225044998468,1641,2000,0.1795
rotate,0.4,0.4556874297145326,0.2194027327919567,-0.17261875043354635,0.6310495294309124,1375,2000,0.3125
shared,0.25,-0.05200725978024945,-0.05948296328623881,-0.5136662313091467,0.3138625201535694,1810,2000,0.09499999999999997
shared,0.3,-0.050922004998754655,-0.072413291557086,-0.6915564820884694,0.3453881389782474,1726,2000,0.137
shared,0.4,-0.04875149543576551,0.0756109432895586,-0.30565551092941545,0.4084393766276033,1406,2000,0.29700000000000004
