arm,endpoint_mean,endpoint_median,n_features,endpoint_on_common,n_common,boot_mean,boot_lo95,boot_hi95,n_valid,delta_mean,delta_lo95,delta_hi95,p_gt_0
dirfix,0.6703515735483391,0.9833333333333334,12,0.6703515735483391,12,0.6829779474735822,0.46255185154352807,0.8861397404842823,2000,0.13877682100305644,-0.11835032793097976,0.36949387561302,0.874
naive,0.5382946876999692,0.5333333333333333,12,0.5382946876999692,12,0.5442011264705257,0.4328914203813788,0.65,2000,0.0,0.0,0.0,0.0
