feature,c,cos,c_matched,fix_logppl,fix_concept,naive_logppl,naive_concept,matched_logppl,matched_concept
835,1.0,0.7637835741043091,0.7637835741043091,4.4408034324646,0.0,5.2037036418914795,0.4666666666666667,4.646757169400189,0.34068457285563153
835,1.25,0.7637835741043091,0.9547294676303864,4.80676961739858,0.0,5.501045656204224,0.23333333333333334,5.096965665413109,0.44252238273620603
835,1.5,0.7637835741043091,1.1456753611564636,5.1958984931310015,0.0,6.1258760293324785,0.13333333333333333,5.3769652631794775,0.33070299625396726
835,2.0,0.7637835741043091,1.5275671482086182,5.383147891362508,0.0,6.723734394709269,0.0,6.158838529664687,0.12598209381103515
835,2.5,0.7637835741043091,1.9094589352607727,4.899187421798706,0.0,6.740591017405192,0.0,6.615472928780332,0.024144283930460614
835,3.0,0.7637835741043091,2.2913507223129272,4.429114166895548,0.0,6.66665825843811,0.0,6.733556773105697,0.0
3272,1.0,0.8746870756149292,0.8746870756149292,2.6075063864390056,1.0,5.7169275442759195,0.6666666666666666,5.327413289959522,0.5831247170766194
3272,1.25,0.8746870756149292,1.0933588445186615,1.6753853877385458,1.0,6.3337727069854735,0.5333333333333333,5.9472793508258786,0.6168752829233806
3272,1.5,0.8746870756149292,1.3120306134223938,1.170855575799942,1.0,6.437649043401082,0.7666666666666667,6.359546758457198,0.5912285725275676
3272,2.0,0.8746870756149292,1.7493741512298584,0.7376406043767929,1.0,5.998076550165812,0.9333333333333333,6.218413008592005,0.8497913837432862
3272,2.5,0.8746870756149292,2.186717689037323,0.44145763516426084,1.0,5.245029107729594,1.0,5.716861993791498,0.9582290252049764
3272,3.0,0.8746870756149292,2.6240612268447876,0.3914321223894755,1.0,4.1563024918238325,1.0,4.974891588393909,1.0
4151,1.0,0.8802458047866821,0.8802458047866821,4.1028022567431135,0.1,4.196756680806478,0.2,4.012456150395583,0.18403277397155762
4151,1.25,0.8802458047866821,1.1003072559833527,4.537438265482584,0.03333333333333333,4.688388379414876,0.2,4.39401358737385,0.2
4151,1.5,0.8802458047866821,1.3203687071800232,5.005727855364482,0.1,4.209074060122172,0.1,4.553473463488874,0.17185251712799074
4151,2.0,0.8802458047866821,1.7604916095733643,5.675552328427632,0.06666666666666667,1.68678431113561,0.0,2.895003427074359,0.04790167808532715
4151,2.5,0.8802458047866821,2.2006145119667053,6.10472297668457,0.03333333333333333,1.1545214215914408,0.0,1.4732249914878262,0.0
4151,3.0,0.8802458047866821,2.6407374143600464,6.432188193003337,0.0,1.1222812334696453,0.0,1.1454466201619549,0.0
5843,1.0,0.9206252098083496,0.9206252098083496,3.9787697474161785,0.26666666666666666,3.9741202036539716,0.2,3.9098253248785495,0.20529165267944338
5843,1.25,0.9206252098083496,1.150781512260437,4.1579740444819135,0.3,4.349806594848633,0.4,4.20070645245396,0.32062520980834963
5843,1.5,0.9206252098083496,1.3809378147125244,4.168672196070353,0.5,4.228380552927653,0.3333333333333333,4.286209552535334,0.3650832494099935
5843,2.0,0.9206252098083496,1.8412504196166992,4.511750753720602,0.5666666666666667,4.833014369010925,0.5666666666666667,4.641043639833378,0.49258352915445963
5843,2.5,0.9206252098083496,2.301563024520874,4.94746474424998,0.5666666666666667,5.1145187218983965,0.5333333333333333,5.002796977156,0.5465624650319417
5843,3.0,0.9206252098083496,2.761875629425049,5.425241692860921,0.5666666666666667,5.600514586766561,0.23333333333333334,5.369059667919039,0.376207955678304
7998,1.0,0.8602349758148193,0.8602349758148193,4.081031858921051,0.9666666666666667,4.374849716822307,0.6,4.279346280547205,0.4788703123728434
