повторы,n dirfix,n naive,Δ log-ppl,Δ концепт,Δ повторы
ровно 0,1677,2227,-0.8803610615494213,0.2854861154064379,0.0
0–5%,129,43,-0.6922502111094868,0.39534883720930236,0.003152267790830006
5–15%,191,41,-0.6200326111349863,0.49278508491891204,0.005430769564223933
>15%,523,209,0.36254303557290335,0.5257760253231724,-0.12921839690545073
