arm,endpoint_mean,endpoint_median,n_features,boot_mean,boot_lo95,boot_hi95,n_valid,delta_mean,delta_lo95,delta_hi95,p_gt_0
cds,0.41650346326339927,0.4109956253848377,10,0.42972018640846876,0.3083971682831106,0.5536827990593619,2000,-0.09450905920417929,-0.24405734233666573,0.059859185167457626,0.1085
clean,,,0,,,,0,,,,
denoise_naive,0.46110346577461986,0.45081195869400575,9,0.4488652779214906,0.30201288094334017,0.5914454724069271,2000,-0.0753639676911574,-0.2700237885482951,0.08764761262231897,0.2135
fsr,0.4688146670447537,0.4596900273734103,9,0.5170604051376092,0.3537460873059847,0.6836209538954086,2000,-0.007168840475038801,-0.12632021180364153,0.11144678015207449,0.4335
mts,0.20188924171565198,0.11546473876541635,10,0.22209115950786654,0.10399896760310567,0.3721725668980915,2000,-0.30213808610478143,-0.4610028235483735,-0.15299997555978972,0.0
naive,0.5277233383459095,0.5019668590887795,10,0.524229245612648,0.39218329736080293,0.6541176584277368,2000,0.0,0.0,0.0,0.0
norm_preserving,0.3803961370282224,0.41596568498082254,8,0.3965650876387631,0.24812316497861162,0.5340219178295672,2000,-0.12766415797388495,-0.3098864095203881,0.01948911615063894,0.051
