feature,c,cos,c_matched,fix_logppl,fix_concept,naive_logppl,naive_concept,matched_logppl,matched_concept
2851,1.0,0.739046573638916,0.739046573638916,3.7464387814203897,0.8666666666666667,4.943233593304952,0.5333333333333333,4.383377878431687,0.376761277516683
2851,1.25,0.739046573638916,0.923808217048645,3.81991651058197,0.9666666666666667,5.380214564005533,0.4666666666666667,4.7797699220034096,0.48761826356252036
2851,1.5,0.739046573638916,1.108569860458374,3.934454147020976,1.0,6.060240888595581,0.1,5.1330054453526595,0.5043813705444335
2851,2.0,0.739046573638916,1.478093147277832,2.784186259905497,1.0,6.7257187525431315,0.0,6.000651942435616,0.13213005065917965
2851,2.5,0.739046573638916,1.84761643409729,2.5196240464846293,1.0,6.5816064675649,0.0,6.522902972667839,0.030476713180542
2851,3.0,0.739046573638916,2.217139720916748,2.186527105172475,1.0,6.343635114034017,0.0,6.663133749861435,0.0
3758,1.0,0.758847713470459,0.758847713470459,4.197802567481995,0.9333333333333333,5.289038300514221,0.6333333333333333,4.711521776924959,0.6654869715372721
3758,1.25,0.758847713470459,0.9485596418380737,4.591171280543009,1.0,5.9907502174377445,0.2,5.16584785830283,0.6401920477549234
3758,1.5,0.758847713470459,1.1382715702056885,5.076270778973897,0.9666666666666667,6.744165277481079,0.13333333333333333,5.677145534854458,0.39366261164347327
3758,2.0,0.758847713470459,1.517695426940918,5.705517061551412,0.9333333333333333,7.5864517052968345,0.03333333333333333,6.77397451337456,0.12979424794514974
3758,2.5,0.758847713470459,1.8971192836761475,3.937975279490153,0.9666666666666667,7.760179090499878,0.03333333333333333,7.413141643209746,0.05390947659810383
3758,3.0,0.758847713470459,2.276543140411377,3.689775041739146,0.9,7.343518129984537,0.0,7.682537938655847,0.03333333333333333
4752,1.0,0.8602421283721924,0.8602421283721924,3.9638285636901855,0.3,4.016168522834778,0.5,3.9065216869024386,0.4534140427907308
