split,feature,family,cos_d_bar,cos_mu_hat,cos_v_hat,weak_half_energy,logit_reach
test,3272,decoder,0.06300199031829834,-0.023285191506147385,1.000000238418579,0.4346712827682495,39.888004302978516
test,3272,shared,0.6315822601318359,-0.10249774158000946,0.8135597109794617,0.5722382664680481,35.755184173583984
test,3272,diffmeans,0.059266407042741776,-0.009040314704179764,0.8436315059661865,0.4343695342540741,50.56237030029297
test,3272,centred,0.05964477360248566,1.862645149230957e-09,0.9997289180755615,0.43452325463294983,39.89677810668945
test,3272,purified,1.862645149230957e-08,-0.014186093583703041,0.9980135560035706,0.4343240261077881,39.87923812866211
test,3272,diffmeans_purified,0.0,-0.0004550255835056305,0.8413766026496887,0.4337286949157715,50.56025695800781
test,3272,learned,0.644418478012085,-0.17922267317771912,0.7008887529373169,0.6756051182746887,34.441593170166016
test,16355,decoder,0.008548704907298088,0.00112107302993536,1.0,0.4693964719772339,37.68238830566406
test,16355,shared,0.6043640375137329,-0.08567601442337036,0.8018456697463989,0.6129994988441467,32.83541488647461
test,16355,diffmeans,-0.01671159267425537,0.05993632227182388,0.890365481376648,0.4423288404941559,42.00967025756836
test,16355,centred,0.008711129426956177,1.862645149230957e-09,0.9999994039535522,0.4694075286388397,37.68019104003906
test,16355,purified,5.587935447692871e-09,0.002359638921916485,0.9999634623527527,0.46897315979003906,37.70426559448242
test,16355,diffmeans_purified,3.725290298461914e-09,0.057523299008607864,0.8906326293945312,0.442795991897583,41.95737838745117
test,16355,learned,0.4093606472015381,-0.1260964721441269,0.8471510410308838,0.5770663022994995,33.66801834106445
test,14434,decoder,0.026620477437973022,0.07098187506198883,1.0,0.46549710631370544,38.49560546875
test,14434,shared,0.6135064363479614,-0.029760360717773438,0.8057416677474976,0.5883224606513977,36.0775146484375
test,14434,diffmeans,0.003323175013065338,0.18400397896766663,0.8843777179718018,0.49291425943374634,38.5318489074707
test,14434,centred,0.036997146904468536,-1.4901161193847656e-08,0.9974775314331055,0.4634352922439575,38.787452697753906
test,14434,purified,9.313225746154785e-09,0.07486498355865479,0.9996455907821655,0.4654630124568939,38.42625427246094
test,14434,diffmeans_purified,1.862645149230957e-09,0.18448641896247864,0.8842941522598267,0.49294593930244446,38.5289306640625
test,14434,learned,0.523617684841156,-0.12503689527511597,0.7772344350814819,0.6127837896347046,36.23749923706055
test,8925,decoder,0.03546838089823723,0.04788350313901901,0.9999998807907104,0.5219804644584656,35.07685089111328
test,8925,shared,0.6179423928260803,-0.04780976474285126,0.8076460957527161,0.6193892359733582,32.40943145751953
test,8925,diffmeans,-0.024358130991458893,0.08396952599287033,0.9022206664085388,0.5159815549850464,37.69688415527344
test,8925,centred,0.04245409741997719,-1.0244548320770264e-08,0.9988529086112976,0.5210737586021423,35.14693832397461
test,8925,purified,-5.587935447692871e-09,0.053055282682180405,0.9993707537651062,0.5223325490951538,35.07338333129883
test,8925,diffmeans_purified,-5.587935447692871e-09,0.08046457916498184,0.9033526182174683,0.5150603652000427,37.672237396240234
test,8925,learned,0.24491871893405914,0.01207110658288002,0.8983843326568604,0.5401244759559631,35.1204948425293
test,23860,decoder,-0.04346489533782005,0.131342813372612,1.0,0.5130055546760559,38.28941345214844
test,23860,shared,0.5774028301239014,0.018541492521762848,0.7905911207199097,0.5898656249046326,33.84225082397461
test,23860,diffmeans,-0.09567511081695557,0.2326374650001526,0.8175405859947205,0.5354152917861938,40.600826263427734
test,23860,centred,-0.024650420993566513,-1.1175870895385742e-08,0.9913370609283447,0.5049847960472107,37.98122024536133
test,23860,purified,1.862645149230957e-09,0.1251642405986786,0.9990549683570862,0.5108033418655396,38.22176742553711
test,23860,diffmeans_purified,-2.2351741790771484e-08,0.21978497505187988,0.8171305656433105,0.529718279838562,40.501224517822266
test,23860,learned,0.38513830304145813,0.07731689512729645,0.8629514575004578,0.5842399597167969,34.76774978637695
test,5843,decoder,-0.041859835386276245,0.13558277487754822,1.000000238418579,0.39888960123062134,40.78572463989258
test,5843,shared,0.5782496929168701,0.02198883332312107,0.790939211845398,0.51313716173172,37.65570068359375
test,5843,diffmeans,-0.07398675382137299,0.22259151935577393,0.7302812337875366,0.43041688203811646,42.496036529541016
test,5843,centred,-0.02242463454604149,-2.60770320892334e-08,0.9907662272453308,0.3868551254272461,41.10136795043945
test,5843,purified,-3.725290298461914e-09,0.12963202595710754,0.9991236925125122,0.3965061902999878,40.87384033203125
test,5843,diffmeans_purified,-2.2351741790771484e-08,0.212455153465271,0.7291826009750366,0.4260825514793396,42.58740997314453
test,5843,learned,0.39625266194343567,0.015087876468896866,0.8452075123786926,0.4803934693336487,39.020606994628906
test,13094,decoder,0.042289454489946365,0.11159418523311615,1.0,0.4936700463294983,35.93579864501953
test,13094,shared,0.6213443279266357,0.0023053251206874847,0.8091129064559937,0.6216130256652832,32.010555267333984
test,13094,diffmeans,-0.0014546215534210205,0.1995701938867569,0.9354028701782227,0.5327436327934265,35.63916015625
test,13094,centred,0.0588238351047039,-9.778887033462524e-09,0.9937538504600525,0.48765283823013306,35.913997650146484
test,13094,purified,7.450580596923828e-09,0.1178261786699295,0.9991054534912109,0.49226027727127075,36.013389587402344
test,13094,diffmeans_purified,7.450580596923828e-09,0.19935965538024902,0.9354655146598816,0.532753586769104,35.63821029663086
test,13094,learned,0.5920255184173584,0.04314272850751877,0.796675443649292,0.615168035030365,32.27083206176758
test,7998,decoder,0.02932826429605484,-0.0807749405503273,0.9999999403953552,0.5126976370811462,35.8004035949707
test,7998,shared,0.6148667931556702,-0.14945435523986816,0.8063246607780457,0.6352781653404236,33.408233642578125
test,7998,diffmeans,0.014142759144306183,-0.1095312163233757,0.9431751370429993,0.5241042375564575,35.776641845703125
test,7998,centred,0.017683951184153557,2.3283064365386963e-09,0.9967324733734131,0.5101975202560425,35.57150650024414
test,7998,purified,7.450580596923828e-09,-0.07655900716781616,0.999569833278656,0.5116029977798462,35.76885223388672
test,7998,diffmeans_purified,-5.587935447692871e-09,-0.1074930727481842,0.9428547024726868,0.5236526131629944,35.775733947753906
test,7998,learned,0.2406069040298462,-0.03626064956188202,0.9102077484130859,0.5236830711364746,36.95677185058594
test,15503,decoder,0.07354087382555008,0.12934717535972595,1.0,0.4530532956123352,41.40481185913086
test,15503,shared,0.6367392539978027,0.015998899936676025,0.8158175349235535,0.57731032371521,36.88938903808594
test,15503,diffmeans,0.07062356919050217,0.1432957947254181,0.8442990779876709,0.45690247416496277,48.63371658325195
test,15503,centred,0.09306154400110245,-2.514570951461792e-08,0.9915993809700012,0.44176599383354187,41.609066009521484
test,15503,purified,1.862645149230957e-08,0.1403813660144806,0.9972922801971436,0.4537947177886963,41.38350296020508
test,15503,diffmeans_purified,1.1175870895385742e-08,0.15391157567501068,0.8412058353424072,0.4567764401435852,48.79085159301758
test,15503,learned,0.35115692019462585,0.20775379240512848,0.873096227645874,0.5483160018920898,38.085899353027344
test,4151,decoder,-0.020831307396292686,0.06033416837453842,1.0,0.5145889520645142,37.315120697021484
test,4151,shared,0.5892566442489624,-0.03904881328344345,0.7954956293106079,0.6114261746406555,34.8353271484375
test,4151,diffmeans,-0.04851631820201874,0.1200457364320755,0.8380290269851685,0.5294989347457886,37.782691955566406
test,4151,centred,-0.012112582102417946,-7.450580596923828e-09,0.9981781840324402,0.5130204558372498,37.46410369873047
test,4151,purified,0.0,0.0573287270963192,0.9997829794883728,0.5143452882766724,37.348388671875
test,4151,diffmeans_purified,7.450580596923828e-09,0.11315028369426727,0.8380051851272583,0.5281833410263062,37.80900955200195
test,4151,learned,-0.033591873943805695,0.06009310483932495,0.8965473771095276,0.5598737597465515,35.01316833496094
test,17590,decoder,0.01643218845129013,0.0038562826812267303,1.000000238418579,0.49410027265548706,38.72847366333008
test,17590,shared,0.6083660125732422,-0.08318516612052917,0.8035463094711304,0.611221969127655,33.37916564941406
test,17590,diffmeans,-0.018275132402777672,0.027500424534082413,0.6934002637863159,0.5471434593200684,39.602630615234375
test,17590,centred,0.016990985721349716,-1.4901161193847656e-08,0.9999926686286926,0.49415135383605957,38.710105895996094
test,17590,purified,3.259629011154175e-09,0.006237689405679703,0.9998650550842285,0.4939020574092865,38.77610397338867
test,17590,diffmeans_purified,-7.450580596923828e-09,0.024857014417648315,0.6938164234161377,0.5466015934944153,39.55891418457031
test,17590,learned,0.3208344578742981,-0.07020704448223114,0.9287073612213135,0.5324569940567017,35.936397552490234
test,835,decoder,0.005032874643802643,0.06410594284534454,0.9999998807907104,0.4559383988380432,40.029476165771484
test,835,shared,0.6025722622871399,-0.03555316850543022,0.8010867238044739,0.5915543437004089,35.19853210449219
test,835,diffmeans,-0.023769572377204895,0.16640233993530273,0.9219719171524048,0.4493769705295563,47.20017623901367
test,835,centred,0.014349590986967087,-1.30385160446167e-08,0.9979429244995117,0.4544221758842468,40.06241226196289
test,835,purified,-1.4901161193847656e-08,0.06483589112758636,0.9999873638153076,0.4558236300945282,40.03580856323242
test,835,diffmeans_purified,0.0,0.1630048155784607,0.922352135181427,0.44938981533050537,47.13885498046875
test,835,learned,0.6137667894363403,-0.16037769615650177,0.6674686074256897,0.6564231514930725,33.27962875366211
dev,24487,decoder,-0.00602313969284296,0.0388416089117527,1.0,0.49720096588134766,38.399017333984375
dev,24487,shared,0.5969096422195435,-0.05601261556148529,0.7986986041069031,0.596703827381134,34.077877044677734
dev,24487,diffmeans,-0.06171046942472458,0.1700553596019745,0.916254997253418,0.5120767951011658,37.25387954711914
