feature,direction,mean_delta_all,n_tokens_kept,top15_high,top15_low,q1,qnorm1,q5,qnorm5,q10,qnorm10,q25,qnorm25,q50,qnorm50,q75,qnorm75,q90,qnorm90,q95,qnorm95,q99,qnorm99
1344,decoder,-1.8172375983012237,1407, toward:+0.859 |  am:+0.721 |  self:+0.645 |  pre:+0.541 | -:+0.434 | �:+0.340 | _:+0.321 |  expect:+0.311 |  begin:+0.279 | 'm:+0.248 |  became:+0.219 | ;:+0.208 |  b:+0.203 |  high:+0.099 | 9:+0.083, Bur:-9.699 |  plastic:-7.267 |  Sports:-6.798 |  riders:-6.673 |  scene:-6.563 |  housing:-6.519 |  Jackson:-6.117 |  Iran:-5.953 |  crime:-5.860 |  event:-5.770 |  Or:-5.711 | wood:-5.649 |  @:-5.644 |  FBI:-5.595 | �:-5.480,-5.47975638672928,-5.099469620103326,-4.44929883380731,-4.239200207595347,-3.798771725193812,-3.780593767021178,-2.897179545133145,-3.0142825127789776,-2.063832295576243,-2.1628550742906425,-1.2780231579463242,-1.3114276358023074,-0.6493837249880886,-0.5451163815601068,-0.3372117991036892,-0.0865099409859389,0.08277391676907403,0.7737594715220415
1344,shared,-4.2772620723788535,1407," toward:+1.735 | 'm:+0.411 | 'd:+0.051 | 't:+0.027 | 're:-0.021 |  expect:-0.022 | .,:-0.030 |  ago:-0.079 |  am:-0.136 |  ]:-0.136 |  released:-0.248 | ating:-0.285 | �:-0.297 |  cent:-0.326 | .[:-0.333", Bur:-14.097 |  plastic:-11.672 |  Or:-10.962 |  scene:-10.774 |  lawyer:-10.772 |  riders:-10.670 |  FBI:-10.558 |  Sports:-10.549 |  housing:-10.532 |  event:-10.279 |  @:-10.106 |  kids:-10.085 |  Well:-10.070 |  story:-9.714 |  property:-9.625,-9.61331928182272,-9.669529203868839,-8.141164057772082,-8.193571253312488,-7.4589706731145835,-7.4067435313219505,-6.250327009707281,-6.0919889069511886,-4.531933473383209,-4.631201066668619,-2.953629522858971,-3.17041322638605,-1.919230748911233,-1.8556586020152879,-1.3241513463011492,-1.0688308800247506,-0.33639110923203774,0.407127070531601
1344,d_bar,-1.4595646123162123,1407,.[:+1.977 |  CEO:+1.367 |  throughout:+1.215 |  marijuana:+1.144 |  sex:+1.084 | �:+1.080 |  emails:+1.026 |  toward:+0.987 | �:+0.868 |  caused:+0.831 |  plastic:+0.779 |  wrote:+0.696 |  January:+0.662 |  seem:+0.636 |  lawmakers:+0.604, numbers:-5.017 |  special:-4.460 |  field:-4.421 |  g:-4.188 |  public:-4.145 |  number:-4.026 |  H:-3.981 |  social:-3.940 |  C:-3.894 |  B:-3.732 |  specific:-3.651 |  N:-3.621 |  small:-3.614 |  events:-3.613 |  pre:-3.590,-3.5895614042316657,-3.5862705035175657,-3.016198112781339,-2.9398201473470147,-2.6128202874905817,-2.5951998545169124,-1.9845305643437317,-2.019354455343456,-1.3295620580514278,-1.3795484098634203,-0.7604243435880875,-0.7397423643833844,-0.17119026975945012,-0.16389696520992825,0.13331585417948,0.18072332762017362,0.6027901110122116,0.8271736837907251
17102,decoder,-1.3523234579031207,1407, Z:+1.374 |  attack:+1.214 |  earlier:+0.952 |  built:+0.933 |  where:+0.929 |  m:+0.874 |  also:+0.648 |  here:+0.640 |  remain:+0.553 |  Al:+0.525 | All:+0.514 |  There:+0.483 |  there:+0.447 | There:+0.433 |  killed:+0.426, riders:-8.793 |  economy:-6.562 |  Google:-6.433 |  Apple:-5.972 |  states:-5.919 |  Democrats:-5.884 |  Sports:-5.806 |  EU:-5.800 |  Assange:-5.792 |  Gaza:-5.755 |  Iran:-5.746 |  draft:-5.677 |  teams:-5.658 |  Star:-5.608 |  investors:-5.484,-5.481635167778004,-4.75036183489488,-4.22697344143285,-3.844441666343635,-3.480372522358069,-3.361498976643176,-2.4205298243338005,-2.5545229171527772,-1.3888204629765823,-1.6579139277248838,-0.6985812795165527,-0.7613049382969904,-0.18783233317674305,0.04567112119340866,0.006916856658062942,0.5286138108938667,0.42330152469177834,1.4345339794451122
17102,shared,-1.9046762973295317,1407," built:+1.256 |  Z:+1.244 |  earlier:+0.843 |  where:+0.763 |  killed:+0.711 |  Friday:+0.702 |  here:+0.698 |  There:+0.690 |  since:+0.612 | There:+0.551 |  remain:+0.521 |  Thursday:+0.495 | "".:+0.489 |  before:+0.433 |  said:+0.399", riders:-11.644 |  economy:-9.729 |  states:-9.072 |  game:-8.093 |  Democrats:-7.976 |  player:-7.901 |  bill:-7.879 |  party:-7.815 |  players:-7.724 |  digital:-7.671 |  field:-7.650 |  teams:-7.622 |  company:-7.589 |  film:-7.464 |  model:-7.457,-7.446464710590236,-6.653401559183643,-5.920483955272607,-5.401011563152127,-5.068481294761432,-4.733367090455751,-3.460783839206366,-3.6177624499729726,-1.9620186379551887,-2.3782447002940144,-0.9808551758301823,-1.1387269506150564,-0.38604791035983843,-0.0231223101322775,-0.06077123741799174,0.6445221625640971,0.39778282956971367,1.8969121585956144
17102,d_bar,-1.2595041895466688,1407,.[:+1.971 |  CEO:+1.301 |  throughout:+1.169 | �:+1.121 |  marijuana:+1.100 |  sex:+1.069 |  emails:+1.021 |  toward:+0.983 |  plastic:+0.889 | �:+0.885 |  caused:+0.859 |  wrote:+0.712 |  lawmakers:+0.689 |  housing:+0.667 |  seem:+0.652, numbers:-4.483 |  field:-3.951 |  special:-3.938 |  g:-3.798 |  public:-3.691 |  number:-3.512 |  H:-3.498 |  C:-3.496 |  social:-3.467 |  B:-3.287 |  pre:-3.279 |  current:-3.247 |  specific:-3.235 |  events:-3.229 |  line:-3.206,-3.2049800356215514,-3.188292935313192,-2.6591757752710863,-2.601964324626598,-2.318220394126362,-2.2893947118469713,-1.7392308339541491,-1.7671045937507837,-1.1488629493756246,-1.1868023537188794,-0.6181369381219066,-0.6065001136869752,-0.0908035137728748,-0.08420999559078757,0.18860276800689865,0.2283596171888389,0.6517266377771189,0.8146882278754333
15507,decoder,-1.8809193409872629,1407,",:+1.088 |  If:+1.075 | If:+1.068 |  might:+1.066 |  where:+0.992 |  ,:+0.935 | ),:+0.793 |  –:+0.769 |  offered:+0.756 | But:+0.726 |  consider:+0.653 | To:+0.456 | —:+0.411 |  whether:+0.364 |  offer:+0.352", riders:-7.423 |  km:-6.125 |  Bur:-5.685 |  guy:-5.548 |  together:-5.482 |  total:-5.325 |  tools:-5.151 |  center:-5.129 |  throughout:-5.091 |  Jackson:-5.024 |  Sports:-5.008 |  threats:-4.994 |  death:-4.979 | /:-4.975 |  numbers:-4.972,-4.967758444865162,-4.818690699015335,-4.057443498143811,-4.054902579640621,-3.6341412986106776,-3.6477299594284305,-2.996396446932167,-2.9673623638551083,-2.196439118072276,-2.2114245697504007,-1.4511673902931745,-1.4554867756456928,-0.8474533223266013,-0.7751191800723709,-0.40195986744755885,-0.3679465598601812,0.34803634795759764,0.3958415595145328
15507,shared,-1.502320952319688,1407," �:+1.833 |  ,:+1.762 |  –:+1.761 |  might:+1.548 |  where:+1.493 | But:+1.371 |  whose:+1.327 |  whether:+1.277 | 'd:+1.276 | If:+1.168 |  If:+1.152 |  particularly:+1.131 |  But:+1.043 | ),:+0.898 | —:+0.872", center:-5.874 | �:-5.669 |  riders:-5.254 |  guy:-4.986 |  numbers:-4.904 |  total:-4.865 |  FBI:-4.752 |  third:-4.506 |  everyone:-4.486 |  final:-4.437 |  together:-4.413 |  growth:-4.381 |  lives:-4.367 | ized:-4.364 |  rest:-4.303,-4.301569632419405,-4.233673048861898,-3.5461954749603235,-3.4886055938165503,-3.1020101266548687,-3.0914128904867297,-2.371452480762086,-2.4277212984466034,-1.69243575320474,-1.6903117549631552,-0.9471538901043333,-0.9529022114797071,-0.31363232801161506,-0.28921061943958093,-0.025962479511896685,0.10798208389023944,0.8709634646252971,0.8530495389355879
15507,d_bar,-2.0254700358671536,1407,.[:+1.924 |  CEO:+1.515 |  throughout:+1.280 |  marijuana:+1.244 |  sex:+1.106 |  emails:+0.989 |  toward:+0.913 | �:+0.856 | �:+0.762 |  January:+0.697 |  caused:+0.685 |  wrote:+0.640 |  month:+0.599 |  �:+0.534 |  seem:+0.504, numbers:-6.323 |  special:-5.835 |  field:-5.663 |  number:-5.402 |  public:-5.302 |  social:-5.178 |  H:-5.161 |  g:-5.103 |  C:-4.962 |  B:-4.898 |  safety:-4.822 |  small:-4.761 |  specific:-4.740 | c:-4.740 |  N:-4.738,-4.735692030179515,-4.66760904525797,-3.929495027081745,-3.8623710217596137,-3.4418529446223185,-3.433101611035174,-2.6866788623946842,-2.715811247366905,-1.8726679285367331,-1.9188495772758434,-1.0910034585353352,-1.1218879071847816,-0.4005576340312303,-0.4045975435165128,0.009304029841915413,0.024671867207926246,0.5035384533597869,0.8299098907062841
