feature,c,base_logppl,arm_logppl,delta_logppl,sign_opposite_logppl,base_keyword_hit,arm_keyword_hit,delta_keyword_hit,sign_opposite_keyword_hit
359,1.0,4.445861593882243,1.2978865871826808,-3.147975006699562,False,0.6333333333333333,0.0,-0.6333333333333333,False
1344,1.0,5.5208391666412355,2.519636854529381,-3.0012023121118547,False,0.9666666666666667,0.03333333333333333,-0.9333333333333333,False
4317,1.0,4.355145724614461,3.0796661694844563,-1.2754795551300049,False,0.16666666666666666,0.0,-0.16666666666666666,False
4398,1.0,5.31863694190979,2.14766941567262,-3.17096752623717,False,0.26666666666666666,0.0,-0.26666666666666666,False
6587,1.0,5.507696493466695,2.470942512154579,-3.036753981312116,False,0.7333333333333333,0.06666666666666667,-0.6666666666666666,False
6911,1.0,4.642797223726908,2.219590931137403,-2.423206292589505,False,0.4666666666666667,0.0,-0.4666666666666667,False
7848,1.0,5.877863041559855,2.5615425517161685,-3.316320489843686,False,0.2,0.13333333333333333,-0.06666666666666668,False
14891,1.0,5.1933200041453045,2.3095763752857845,-2.88374362885952,False,0.8666666666666667,0.0,-0.8666666666666667,False
15507,1.0,4.309838636716207,2.2543791721264523,-2.0554594645897546,False,0.0,0.03333333333333333,0.03333333333333333,True
15664,1.0,4.841157619158427,2.50884523888429,-2.3323123802741366,False,0.9333333333333333,0.1,-0.8333333333333334,False
17102,1.0,5.143382604916891,2.528959171970685,-2.6144234329462055,False,0.3333333333333333,0.03333333333333333,-0.3,False
23257,1.0,5.006562582651774,2.5332214762767156,-2.473341106375058,False,0.26666666666666666,0.0,-0.26666666666666666,False
359,1.5,3.1642854889233907,1.1464760427673657,-2.0178094461560248,False,0.2,0.0,-0.2,False
1344,1.5,6.587676858901977,1.5483618040879568,-5.03931505481402,False,0.9,0.0,-0.9,False
4317,1.5,5.164029343922933,2.5099836478630704,-2.6540456960598626,False,0.36666666666666664,0.0,-0.36666666666666664,False
4398,1.5,6.42907894452413,1.3024284342924755,-5.126650510231654,False,0.06666666666666667,0.0,-0.06666666666666667,False
6587,1.5,6.545743942260742,1.647887040177981,-4.897856902082761,False,0.8,0.06666666666666667,-0.7333333333333334,False
6911,1.5,5.900172583262125,1.2978865871826808,-4.602285996079445,False,0.3,0.0,-0.3,False
7848,1.5,6.774360942840576,1.5068896840016046,-5.267471258838971,False,0.2,0.0,-0.2,False
14891,1.5,6.262852255503336,1.7714390168587366,-4.4914132386446,False,0.7333333333333333,0.0,-0.7333333333333333,False
15507,1.5,1.8906424542268117,1.4303059031565983,-0.4603365510702133,False,0.0,0.0,0.0,False
15664,1.5,5.953914276758829,1.7312933911879858,-4.222620885570843,False,0.43333333333333335,0.0,-0.43333333333333335,False
17102,1.5,6.221953344345093,1.7987462451060614,-4.423207099239032,False,0.03333333333333333,0.0,-0.03333333333333333,False
23257,1.5,6.709430344899496,1.8513080845276515,-4.858122260371845,False,0.2,0.0,-0.2,False
359,2.0,2.136661779880524,1.3446127543846766,-0.7920490254958472,False,0.0,0.0,0.0,False
1344,2.0,6.8398193200429285,1.016373441616694,-5.823445878426234,False,0.6666666666666666,0.0,-0.6666666666666666,False
4317,2.0,5.953251806894938,2.314674424131711,-3.638577382763227,False,0.13333333333333333,0.0,-0.13333333333333333,False
4398,2.0,6.859190845489502,1.2000284766157467,-5.659162368873756,False,0.0,0.0,0.0,False
6587,2.0,6.10467267036438,1.2473559200763702,-4.8573167502880095,False,0.4666666666666667,0.0,-0.4666666666666667,False
6911,2.0,6.463280153274536,1.181804562608401,-5.281475590666135,False,0.1,0.0,-0.1,False
7848,2.0,6.453631337483724,1.0190450549125671,-5.434586282571157,False,0.16666666666666666,0.03333333333333333,-0.13333333333333333,False
14891,2.0,7.241084973017375,1.2810973703861237,-5.9599876026312515,False,0.36666666666666664,0.0,-0.36666666666666664,False
15507,2.0,1.3967510263125102,1.0964575340350469,-0.3002934922774634,False,0.0,0.0,0.0,False
15664,2.0,4.552017609278361,1.1640417476495106,-3.387975861628851,False,0.13333333333333333,0.0,-0.13333333333333333,False
17102,2.0,6.682785193125407,0.9771192779143651,-5.705665915211042,False,0.03333333333333333,0.0,-0.03333333333333333,False
23257,2.0,7.616453393300374,0.9771192779143651,-6.639334115386009,False,0.06666666666666667,0.0,-0.06666666666666667,False
