feature,c,base_logppl,arm_logppl,delta_logppl,sign_opposite_logppl,base_keyword_hit,arm_keyword_hit,delta_keyword_hit,sign_opposite_keyword_hit
359,1.0,4.363048815727234,3.838888986905416,-0.5241598288218183,True,0.43333333333333335,0.43333333333333335,0.0,False
1344,1.0,5.547702232996623,5.4616934061050415,-0.08600882689158151,True,0.9666666666666667,1.0,0.033333333333333326,False
4317,1.0,4.421716340382894,4.36339271068573,-0.058323629697164314,True,0.2,0.16666666666666666,-0.033333333333333354,True
4398,1.0,5.322229162851969,6.268363777796427,0.9461346149444578,False,0.3,0.3333333333333333,0.033333333333333326,False
6587,1.0,5.493352476755778,5.72292529741923,0.22957282066345197,False,0.43333333333333335,0.6,0.16666666666666663,False
6911,1.0,4.947955060005188,6.178933111826579,1.230978051821391,False,0.26666666666666666,0.3333333333333333,0.06666666666666665,False
7848,1.0,5.891810655593872,6.599224948883057,0.7074142932891849,False,0.13333333333333333,0.1,-0.033333333333333326,True
14891,1.0,5.021746246019999,5.698829078674317,0.6770828326543175,False,0.8666666666666667,0.8,-0.06666666666666665,True
15507,1.0,4.10716142654419,3.888883086045583,-0.21827834049860684,True,0.0,0.0,0.0,False
15664,1.0,5.105449684460958,5.5501109997431435,0.4446613152821852,False,0.9,0.7,-0.20000000000000007,True
17102,1.0,5.1598912080128985,5.695759471257528,0.5358682632446294,False,0.23333333333333334,0.2,-0.033333333333333326,True
23257,1.0,4.99003320535024,5.823685963948567,0.8336527585983271,False,0.36666666666666664,0.5333333333333333,0.16666666666666669,False
359,1.5,3.274575916926066,4.530448432763418,1.2558725158373516,False,0.13333333333333333,0.13333333333333333,0.0,False
1344,1.5,6.356317472457886,6.53657808303833,0.1802606105804445,False,0.9666666666666667,1.0,0.033333333333333326,False
4317,1.5,5.13676430384318,5.3908688942591345,0.25410459041595423,False,0.2,0.13333333333333333,-0.06666666666666668,True
4398,1.5,6.50127813021342,7.0999054590861,0.5986273288726807,False,0.03333333333333333,0.2,0.16666666666666669,False
6587,1.5,6.6885914007822675,6.0202538013458256,-0.668337599436442,True,0.6666666666666666,0.6,-0.06666666666666665,True
6911,1.5,6.0930607159932455,6.412857071558634,0.3197963555653889,False,0.2,0.06666666666666667,-0.13333333333333336,True
7848,1.5,6.749084949493408,6.771618254979452,0.02253330548604371,False,0.16666666666666666,0.16666666666666666,0.0,False
14891,1.5,6.498346471786499,6.678842957814535,0.18049648602803536,False,0.6333333333333333,0.8666666666666667,0.2333333333333334,False
15507,1.5,1.742042225599289,1.738305405775706,-0.003736819823582982,True,0.0,0.0,0.0,False
15664,1.5,5.993053960800171,5.947250906626383,-0.045803054173787494,True,0.43333333333333335,0.2,-0.23333333333333334,True
17102,1.5,6.225053564707438,5.297293790181478,-0.9277597745259598,True,0.1,0.06666666666666667,-0.03333333333333334,True
23257,1.5,6.799249219894409,6.780241028467814,-0.019008191426594934,True,0.13333333333333333,0.23333333333333334,0.1,False
359,2.0,2.2967101454734804,4.55236318508784,2.2556530396143595,True,0.0,0.13333333333333333,0.13333333333333333,True
1344,2.0,7.025275214513143,7.076917473475138,0.05164225896199515,True,0.6666666666666666,1.0,0.33333333333333337,True
4317,2.0,6.031586138407389,6.360139417648315,0.3285532792409258,True,0.2,0.06666666666666667,-0.13333333333333336,False
4398,2.0,6.733969243367513,7.1236305395762125,0.3896612962086996,True,0.0,0.13333333333333333,0.13333333333333333,True
6587,2.0,6.211942593256633,5.4575037638346355,-0.7544388294219972,False,0.5333333333333333,0.3333333333333333,-0.2,False
6911,2.0,6.704061651229859,5.9514715830485025,-0.7525900681813562,False,0.1,0.0,-0.1,False
7848,2.0,6.693846766153971,6.250769964853922,-0.443076801300049,False,0.13333333333333333,0.1,-0.033333333333333326,False
14891,2.0,7.4050571123758955,7.041228119532267,-0.36382899284362846,False,0.36666666666666664,0.3333333333333333,-0.033333333333333326,False
15507,2.0,1.3888040403525035,1.277171363433202,-0.11163267691930145,False,0.0,0.0,0.0,False
15664,2.0,4.7960957010587055,5.7690943320592245,0.972998631000519,True,0.13333333333333333,0.03333333333333333,-0.1,False
17102,2.0,6.653599373499552,4.756984194119771,-1.896615179379781,False,0.03333333333333333,0.06666666666666667,0.03333333333333333,True
23257,2.0,7.481749312082926,6.847447649637858,-0.6343016624450684,False,0.1,0.06666666666666667,-0.03333333333333334,False
