split,feature,cos_w_v,cos_v_dbar,cos_w_dbar,quad_inv_v,quad_inv_w,pc5_mass_v,pc5_mass_w
test,3272,0.4826952815055847,0.049261800944805145,0.7830014228820801,0.1946442872285843,6.489033222198486,0.04544558748602867,0.2802298665046692
test,16355,0.45516538619995117,0.026930958032608032,0.8217737078666687,0.2645978331565857,7.4903244972229,0.025430668145418167,0.20544487237930298
test,14434,0.5244836807250977,-0.011791536584496498,0.7602810859680176,0.21443061530590057,6.136234283447266,0.03440441936254501,0.2004782259464264
test,8925,0.7578511238098145,0.010860063135623932,-0.2040819525718689,0.23579052090644836,0.622585654258728,0.018605511635541916,0.19823063910007477
test,23860,0.4341388940811157,-0.06996934115886688,0.7610337734222412,0.2390657365322113,6.3863911628723145,0.08964817225933075,0.201923668384552
test,5843,0.7256220579147339,-0.04702971503138542,0.5068918466567993,0.2592746317386627,3.7531983852386475,0.038204971700906754,0.04228072986006737
test,13094,0.7934584021568298,-0.028732381761074066,0.1783439815044403,0.21695244312286377,0.5421717166900635,0.08866517245769501,0.11042850464582443
test,7998,0.7805388569831848,0.057019464671611786,-0.1625843197107315,0.2223081886768341,0.6198682188987732,0.04008372128009796,0.057582151144742966
test,15503,0.4817976951599121,-0.02540145069360733,0.7991549372673035,0.18243961036205292,6.446568012237549,0.029282979667186737,0.18942075967788696
test,4151,0.529876708984375,-0.011824352666735649,-0.6568804979324341,0.2462037205696106,4.334403038024902,0.026785172522068024,0.292481929063797
test,17590,0.6729099750518799,-0.009074623696506023,0.5871753692626953,0.3002435266971588,4.2824811935424805,0.0329364649951458,0.14150145649909973
test,835,0.6722302436828613,-0.009370504878461361,0.6271372437477112,0.2269459217786789,5.208174705505371,0.033774375915527344,0.06376641988754272
dev,24487,0.6694969534873962,-0.014064825139939785,0.6702556610107422,0.2175612449645996,4.951852321624756,0.03162526711821556,0.0739365965127945
dev,10388,0.8543438911437988,-0.040227845311164856,-0.06760023534297943,0.20877519249916077,0.2543025612831116,0.07750755548477173,0.18027363717556
dev,17242,0.7580878734588623,-0.03247879818081856,0.4987882971763611,0.24098417162895203,3.3125228881835938,0.030414598062634468,0.02897769585251808
dev,1171,0.71848064661026,0.05496085435152054,0.471840500831604,0.22323542833328247,2.8512985706329346,0.0629907175898552,0.042865559458732605
dev,8475,0.3238309919834137,-0.023174451664090157,0.8352206945419312,0.19845540821552277,7.348904132843018,0.036930546164512634,0.23732805252075195
dev,21592,0.5485727787017822,0.055474743247032166,0.7808645963668823,0.19171199202537537,6.156622409820557,0.014511439017951488,0.22382502257823944
test_r3,1344,0.5037596225738525,0.04212641343474388,0.8123912811279297,0.2113690823316574,7.284850120544434,0.02289704605937004,0.1766723096370697
test_r3,17102,0.3957732915878296,-0.05100414901971817,0.8050525188446045,0.17080093920230865,7.3422160148620605,0.1139293685555458,0.18699410557746887
test_r3,15507,0.6215882897377014,0.04146110638976097,-0.38713884353637695,0.32030433416366577,2.1523983478546143,0.006575434468686581,0.21454967558383942
test_r3,14891,0.4248959422111511,0.025645487010478973,0.8311439156532288,0.20766524970531464,7.2867608070373535,0.037036363035440445,0.23517656326293945
test_r3,4317,0.3002733588218689,-0.051151420921087265,0.8460674285888672,0.2029770016670227,7.802422046661377,0.03644046187400818,0.25481632351875305
test_r3,23257,0.46292561292648315,0.045339059084653854,0.8359127044677734,0.22036685049533844,6.672639846801758,0.02970457822084427,0.27483320236206055
test_r3,15664,0.901057243347168,-0.011155214160680771,0.08457409590482712,0.20984801650047302,0.2423335164785385,0.04384933039546013,0.03587651997804642
test_r3,7848,0.6402647495269775,0.06282997131347656,-0.35737597942352295,0.3220940828323364,1.730119228363037,0.002202389994636178,0.24535635113716125
test_r3,6587,0.6168085336685181,0.030917253345251083,0.7540997266769409,0.20473071932792664,5.823426723480225,0.022361552342772484,0.18656082451343536
test_r3,359,0.719086229801178,0.17058977484703064,0.7178781032562256,0.2415800243616104,3.991131067276001,0.12371587008237839,0.35790663957595825
test_r3,6911,0.44977810978889465,0.008454136550426483,-0.6836261749267578,0.21050919592380524,4.850702285766602,0.07814419269561768,0.3497838079929352
test_r3,4398,0.38702869415283203,0.017886342480778694,0.8449510931968689,0.2245207279920578,7.3582258224487305,0.042664069682359695,0.2562582492828369
