arm,n_cells,n_features,d_logppl,logppl_lo95,logppl_hi95,d_concept,concept_lo95,concept_hi95,p_dominates
shared,48,12,-2.699472445766959,-3.2881586366281326,-2.018769620615058,0.5097222222222223,0.34506944444444443,0.6708506944444445,1.0
dirfix,48,12,-1.1121982148124112,-1.7568066177817268,-0.4969470422156156,0.3861111111111111,0.21942708333333333,0.5590451388888888,1.0
diffmeans,48,12,0.07298543101383574,-0.25913800535516607,0.3851444539893415,0.015277777777777772,-0.03333333333333334,0.07085069444444433,0.2345
diffmeans_purified,48,12,0.1692323172258006,-0.19322763388355568,0.5892709145198262,0.002083333333333326,-0.05555555555555556,0.06458333333333333,0.108
centred,48,12,-0.0172607828345564,-0.05703429068542195,0.028600769515873616,-0.006944444444444445,-0.02847222222222222,0.021527777777777774,0.1095
purified,48,12,0.08861085847020145,0.005726795598036696,0.1921346393372448,-0.008333333333333337,-0.020833333333333332,0.005555555555555557,0.0005
rotate,48,12,0.29040648212863335,-0.22344552237437013,0.8923908080978111,-0.10902777777777778,-0.16180555555555554,-0.06666666666666667,0.0
