match_mode,arm,feature,c_n,match_value,matched,c_a,base_logppl,base_keyword_hit,base_rep4,arm_logppl,arm_keyword_hit,arm_rep4,d_logppl,d_keyword_hit,d_rep4
rep4,antimanifold,359,0.0,0.005043859649122804,True,0.0,3.559849572181702,0.0,0.005043859649122804,3.559849572181702,0.0,0.005043859649122804,0.0,0.0,0.0
rep4,antimanifold,359,0.5,0.0,True,0.5,4.578107786178589,0.6,0.0,4.483559838930765,0.16666666666666666,0.0,-0.09454794724782367,-0.43333333333333335,0.0
rep4,antimanifold,359,1.0,0.053616091827464116,True,1.1732011852848994,4.445861593882243,0.6333333333333333,0.053616091827464116,4.153603819852769,0.6076260345147203,0.053616091827464116,-0.2922577740294736,-0.025707298818613,0.0
rep4,antimanifold,359,1.5,0.3815123968539418,True,1.8848955749132867,3.1642854889233907,0.2,0.3815123968539418,3.173345066100623,0.22805569337958034,0.3815123968539418,0.00905957717723238,0.028055693379580332,0.0
rep4,antimanifold,359,2.0,0.7363399928572929,True,2.9877601950891197,2.136661779880524,0.0,0.7363399928572929,1.9700666740680859,0.0020399674851466765,0.7363399928572929,-0.16659510581243797,0.0020399674851466765,0.0
rep4,antimanifold,359,3.0,0.8103703703703703,True,4.409638554216866,1.6747957905133566,0.0,0.8103703703703703,1.5935492778877658,0.0,0.8103703703703703,-0.0812465126255908,0.0,0.0
rep4,antimanifold,359,4.0,0.8844444444444444,False,,1.1897318045298257,0.0,0.8844444444444444,,,,,,
rep4,antimanifold,359,5.0,0.9688888888888888,False,,0.8348305702209473,0.0,0.9688888888888888,,,,,,
rep4,antimanifold,1344,0.0,0.005043859649122804,True,0.0,3.559849572181702,0.0,0.005043859649122804,3.559849572181702,0.0,0.005043859649122804,0.0,0.0,0.0
rep4,antimanifold,1344,0.5,0.0,True,0.5,4.255307308832804,0.4666666666666667,0.0,3.8753300229708354,0.16666666666666666,0.0,-0.37997728586196855,-0.30000000000000004,0.0
rep4,antimanifold,1344,1.0,0.0027777777777777766,True,0.22463768115942023,5.5208391666412355,0.9666666666666667,0.0027777777777777766,3.7015871660145008,0.07487922705314007,0.0027777777777777766,-1.8192520006267348,-0.8917874396135266,0.0
rep4,antimanifold,1344,1.5,0.0,True,0.5,6.587676858901977,0.9,0.0,3.8753300229708354,0.16666666666666666,0.0,-2.712346835931142,-0.7333333333333334,0.0
rep4,antimanifold,1344,2.0,0.0,True,0.5,6.8398193200429285,0.6666666666666666,0.0,3.8753300229708354,0.16666666666666666,0.0,-2.964489297072093,-0.5,0.0
rep4,antimanifold,1344,3.0,0.0,True,0.5,7.144840987523397,0.2,0.0,3.8753300229708354,0.16666666666666666,0.0,-3.2695109645525613,-0.033333333333333354,0.0
rep4,antimanifold,1344,4.0,0.0,True,0.5,6.61721510887146,0.1,0.0,3.8753300229708354,0.16666666666666666,0.0,-2.7418850859006247,0.06666666666666665,0.0
rep4,antimanifold,1344,5.0,0.0,True,0.5,5.173409016927083,0.1,0.0,3.8753300229708354,0.16666666666666666,0.0,-1.2980789939562478,0.06666666666666665,0.0
rep4,antimanifold,4317,0.0,0.005043859649122804,True,0.0,3.559849572181702,0.03333333333333333,0.005043859649122804,3.559849572181702,0.03333333333333333,0.005043859649122804,0.0,0.0,0.0
rep4,antimanifold,4317,0.5,0.0,True,0.5,3.910381007194519,0.03333333333333333,0.0,3.9818547487258913,0.03333333333333333,0.0,0.07147374153137243,0.0,0.0
rep4,antimanifold,4317,1.0,0.0,True,0.5,4.355145724614461,0.16666666666666666,0.0,3.9818547487258913,0.03333333333333333,0.0,-0.37329097588856985,-0.13333333333333333,0.0
rep4,antimanifold,4317,1.5,0.0,True,0.5,5.164029343922933,0.36666666666666664,0.0,3.9818547487258913,0.03333333333333333,0.0,-1.1821745951970417,-0.3333333333333333,0.0
rep4,antimanifold,4317,2.0,0.0,True,0.5,5.953251806894938,0.13333333333333333,0.0,3.9818547487258913,0.03333333333333333,0.0,-1.971397058169047,-0.1,0.0
rep4,antimanifold,4317,3.0,0.006290726817042599,True,3.0893856661621193,6.8609598477681475,0.06666666666666667,0.006290726817042599,6.760779580885723,0.09404095558919207,0.006290726817042599,-0.10018026688242454,0.0273742889225254,0.0
rep4,antimanifold,4317,4.0,0.0593510376635731,True,3.843325770338499,6.069953791300455,0.0,0.0593510376635731,6.603413163442924,0.04377828197743342,0.0593510376635731,0.5334593721424685,0.04377828197743342,0.0
rep4,antimanifold,4317,5.0,0.12751788781463078,False,,5.0932507912317915,0.0,0.12751788781463078,,,,,,
rep4,antimanifold,4398,0.0,0.005043859649122804,True,0.0,3.559849572181702,0.0,0.005043859649122804,3.559849572181702,0.0,0.005043859649122804,0.0,0.0,0.0
rep4,antimanifold,4398,0.5,0.0,True,0.5,4.195789750417074,0.6666666666666666,0.0,3.8300711035728456,0.43333333333333335,0.0,-0.36571864684422817,-0.23333333333333328,0.0
rep4,antimanifold,4398,1.0,0.0,True,0.5,5.31863694190979,0.26666666666666666,0.0,3.8300711035728456,0.43333333333333335,0.0,-1.4885658383369442,0.16666666666666669,0.0
rep4,antimanifold,4398,1.5,0.0,True,0.5,6.42907894452413,0.06666666666666667,0.0,3.8300711035728456,0.43333333333333335,0.0,-2.599007840951284,0.3666666666666667,0.0
rep4,antimanifold,4398,2.0,0.0,True,0.5,6.859190845489502,0.0,0.0,3.8300711035728456,0.43333333333333335,0.0,-3.0291197419166567,0.43333333333333335,0.0
rep4,antimanifold,4398,3.0,0.0,True,0.5,6.9061026255289715,0.0,0.0,3.8300711035728456,0.43333333333333335,0.0,-3.076031521956126,0.43333333333333335,0.0
rep4,antimanifold,4398,4.0,0.00111111111111111,True,0.3898550724637682,6.695966958999634,0.0,0.00111111111111111,3.7705440415852314,0.3378743961352658,0.0011111111111111096,-2.9254229174144024,0.3378743961352658,-4.336808689942018e-19
rep4,antimanifold,4398,5.0,0.0009259259259259234,True,0.4082125603864736,6.245006132125854,0.0,0.0009259259259259234,3.780465218583167,0.35378421900161044,0.0009259259259259238,-2.4645409135426872,0.35378421900161044,4.336808689942018e-19
rep4,antimanifold,6587,0.0,0.005043859649122804,True,0.0,3.559849572181702,0.16666666666666666,0.005043859649122804,3.559849572181702,0.16666666666666666,0.005043859649122804,0.0,0.0,0.0
rep4,antimanifold,6587,0.5,0.0,True,0.5,4.107233254114787,0.16666666666666666,0.0,4.062592959403991,0.06666666666666667,0.0,-0.04464029471079556,-0.09999999999999999,0.0
rep4,antimanifold,6587,1.0,0.0,True,0.5,5.507696493466695,0.7333333333333333,0.0,4.062592959403991,0.06666666666666667,0.0,-1.4451035340627039,-0.6666666666666666,0.0
rep4,antimanifold,6587,1.5,0.0024390243902439,True,0.25821845174973496,6.545743942260742,0.8,0.0024390243902439,3.819484810333616,0.11502297631671968,0.0024390243902439003,-2.7262591319271263,-0.6849770236832804,4.336808689942018e-19
rep4,antimanifold,6587,2.0,0.014491459308532477,True,3.803379782498828,6.10467267036438,0.4666666666666667,0.014491459308532477,5.560466419869195,0.3797746811667448,0.014491459308532476,-0.5442062504951846,-0.08689198549992189,-1.734723475976807e-18
rep4,antimanifold,6587,3.0,0.010132713130444263,True,3.470648069151637,5.337505292892456,0.3333333333333333,0.010132713130444263,5.819682833011992,0.4019567953898909,0.010132713130444263,0.48217754011953584,0.06862346205655756,0.0
rep4,antimanifold,6587,4.0,0.017116698137685085,True,4.022394086212314,4.826267790794373,0.26666666666666666,0.017116698137685085,5.395881498867747,0.3651737275858457,0.017116698137685085,0.5696137080733745,0.09850706091917905,0.0
rep4,antimanifold,6587,5.0,0.03251370223860296,False,,4.4350511948267615,0.16666666666666666,0.03251370223860296,,,,,,
rep4,antimanifold,6911,0.0,0.005043859649122804,True,0.0,3.559849572181702,0.03333333333333333,0.005043859649122804,3.559849572181702,0.03333333333333333,0.005043859649122804,0.0,0.0,0.0
rep4,antimanifold,6911,0.5,0.0,True,0.5,3.793166653315226,0.4,0.0,3.6154904921849567,0.13333333333333333,0.0,-0.17767616113026952,-0.2666666666666667,0.0
rep4,antimanifold,6911,1.0,0.0,True,0.5,4.642797223726908,0.4666666666666667,0.0,3.6154904921849567,0.13333333333333333,0.0,-1.0273067315419513,-0.33333333333333337,0.0
rep4,antimanifold,6911,1.5,0.0,True,0.5,5.900172583262125,0.3,0.0,3.6154904921849567,0.13333333333333333,0.0,-2.2846820910771686,-0.16666666666666666,0.0
rep4,antimanifold,6911,2.0,0.0,True,0.5,6.463280153274536,0.1,0.0,3.6154904921849567,0.13333333333333333,0.0,-2.8477896610895796,0.033333333333333326,0.0
rep4,antimanifold,6911,3.0,0.0,True,0.5,6.832909774780274,0.0,0.0,3.6154904921849567,0.13333333333333333,0.0,-3.217419282595317,0.13333333333333333,0.0
rep4,antimanifold,6911,4.0,0.0,True,0.5,6.864583905537923,0.06666666666666667,0.0,3.6154904921849567,0.13333333333333333,0.0,-3.2490934133529668,0.06666666666666667,0.0
