arm,c,n_features,d_logppl,d_concept,d_rep4,arm_logppl,ref_logppl
antimanifold,0.0,12,0.0,0.0,0.0,3.5598495721817027,3.5598495721817027
antimanifold,0.5,12,-0.1669581883483464,-0.1666666666666667,-0.00030238571905238503,3.8787048767010366,4.045663065049384
antimanifold,1.0,12,-0.35462669200367397,0.016666666666666663,-0.002023021881715071,4.658965110778809,5.013591802782483
antimanifold,1.5,12,-0.30528297209077393,0.09166666666666667,-0.02255419347245441,5.328395426273346,5.633678398364121
antimanifold,2.0,12,0.0025439535578090458,0.1361111111111111,-0.03916654991526805,5.6941772959298556,5.691633342372046
antimanifold,3.0,12,0.3590879920456143,0.041666666666666664,-0.018581783811379673,5.4974837165739805,5.138395724528365
antimanifold,4.0,12,0.43353179345528287,0.016666666666666663,-0.008234836623952546,4.904775382578372,4.47124358912309
antimanifold,5.0,12,0.4600920971896915,0.00833333333333333,-0.012216931988906499,4.4764369706312825,4.01634487344159
dirfix,0.0,12,-0.00032140811284401644,0.0,0.0,3.559528164068858,3.5598495721817027
dirfix,0.5,12,-0.32361552947097366,0.008333333333333337,0.0019510916888367856,3.72204753557841,4.045663065049384
dirfix,1.0,12,-0.7037166108687719,0.19166666666666665,0.02026013803039422,4.3098751919137115,5.013591802782483
dirfix,1.5,12,-1.0287076438466707,0.33055555555555555,0.056049544577953025,4.60497075451745,5.633678398364121
dirfix,2.0,12,-1.2609093402822815,0.47500000000000003,0.06896863676875663,4.430724002089765,5.691633342372046
dirfix,3.0,12,-1.5874373288618193,0.44999999999999996,0.1182735935713935,3.5509583956665463,5.138395724528365
dirfix,4.0,12,-1.3535357534885408,0.38888888888888884,0.1332241844051282,3.1177078356345493,4.47124358912309
dirfix,5.0,12,-1.0588148444890977,0.375,0.1425830912583469,2.957530028952492,4.01634487344159
residual,0.0,12,-0.00021838744481417205,0.0,0.0,3.559631184736888,3.5598495721817027
residual,0.5,12,-0.03662570019563035,-0.04166666666666668,0.0010843607826366453,4.009037364853754,4.045663065049384
residual,1.0,12,-0.032288492388195346,0.04722222222222223,-0.002196787776575718,4.981303310394287,5.013591802782483
residual,1.5,12,-0.007852916585074607,0.0638888888888889,-0.007511851742936167,5.625825481779045,5.633678398364121
residual,2.0,12,0.06494126419226309,0.10555555555555557,-0.014883269966757894,5.7565746065643095,5.691633342372046
residual,3.0,12,0.20791683577828934,0.03888888888888889,0.002407936409494275,5.346312560306655,5.138395724528365
residual,4.0,12,0.5348979039324654,0.049999999999999996,-0.0005091872130923053,5.006141493055555,4.47124358912309
residual,5.0,12,0.6805693392952282,0.05833333333333333,-0.00947713628211611,4.696914212736819,4.01634487344159
shared,0.0,12,-0.00010302133030363574,0.0,0.0,3.559746550851399,3.5598495721817027
shared,0.5,12,-0.5430525193611783,-0.013888888888888893,0.0030008818414869343,3.502610545688205,4.045663065049384
shared,1.0,12,-1.3364392578601836,0.24722222222222223,0.09493617980789613,3.6771525449222984,5.013591802782483
shared,1.5,12,-2.0317358546786832,0.42777777777777776,0.1915949949944875,3.601942543685436,5.633678398364121
shared,2.0,12,-2.3642964618073568,0.5861111111111111,0.2707149126706294,3.32733688056469,5.691633342372046
shared,3.0,12,-2.4709459387593795,0.5944444444444444,0.34676916759231186,2.667449785768986,5.138395724528365
shared,4.0,12,-2.081288686311907,0.5111111111111111,0.36138052181302344,2.389954902811183,4.47124358912309
shared,5.0,12,-1.595400274793307,0.5055555555555556,0.35214225947110805,2.420944598648283,4.01634487344159
shared_only,0.0,12,-0.0002884136305917699,0.0,0.0,3.559561158551109,3.5598495721817027
shared_only,0.5,12,-1.0207059624294441,-0.2638888888888889,0.019091055124020623,3.0249571026199393,4.045663065049384
shared_only,1.0,12,-2.644265431414048,-0.4527777777777777,0.24529173835201398,2.369326371368435,5.013591802782483
shared_only,1.5,12,-4.005094574929939,-0.34722222222222227,0.5787960143250422,1.628583823434181,5.633678398364121
shared_only,2.0,12,-4.456655855518249,-0.17500000000000002,0.6347031079513017,1.2349774868537982,5.691633342372046
shared_only,3.0,12,-3.214741696127587,-0.05277777777777778,0.36134115450652143,1.9236540284007788,5.138395724528365
shared_only,4.0,12,-0.6758681168986693,-0.036111111111111115,0.1301037033110944,3.7953754722244213,4.47124358912309
shared_only,5.0,12,3.0859526661949026,-0.03333333333333333,-0.09859058806125344,7.102297539636493,4.01634487344159
