source,c,mean_norm,mean_maha
corpus,0.0,88.87321472167969,26.404621124267578
rollout_f3272,0.0,89.50108337402344,26.640064239501953
rollout_f3272,1.0,106.50978088378906,36.68672180175781
rollout_f3272,2.0,156.3555908203125,58.47829818725586
rollout_f16355,0.0,88.92414855957031,26.512893676757812
rollout_f16355,1.0,97.41835021972656,32.45471954345703
rollout_f16355,2.0,118.71265411376953,45.610328674316406
rollout_f14434,0.0,89.54762268066406,26.088741302490234
rollout_f14434,1.0,102.0456771850586,33.458274841308594
rollout_f14434,2.0,131.334716796875,48.89781951904297
