arm,c,matched,mismatched,specificity
randrot,0.0,0.0222,0.0222,0.0
randrot,1.0,0.4306,0.0346,0.396
randrot,1.5,0.2861,0.0326,0.2535
randrot,2.0,0.1639,0.0275,0.1364
randrot,3.0,0.0972,0.0232,0.074
