arm,feature,c,dist1,dist2,dist3
clean,10388,0.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,10388,0.5,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,10388,1.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,10388,1.5,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,10388,2.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,10388,3.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,10388,4.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,0.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,0.5,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,1.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,1.5,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,2.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,3.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
clean,24487,4.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
naive,10388,0.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
naive,10388,0.5,0.7435897435897436,0.9529914529914529,0.9444444444444444
naive,10388,1.0,0.7341772151898734,0.9493670886075949,0.9493670886075949
naive,10388,1.5,0.676595744680851,0.9319148936170213,0.948936170212766
naive,10388,2.0,0.7102803738317757,0.9252336448598131,0.9392523364485982
naive,10388,3.0,0.8296703296703297,0.967032967032967,0.9340659340659341
naive,10388,4.0,0.73224043715847,0.9617486338797814,0.9344262295081968
naive,24487,0.0,0.7112970711297071,0.9414225941422594,0.9497907949790795
naive,24487,0.5,0.7276595744680852,0.9659574468085106,0.948936170212766
naive,24487,1.0,0.7707317073170732,0.9512195121951219,0.9365853658536586
naive,24487,1.5,0.6103896103896104,0.9047619047619048,0.948051948051948
naive,24487,2.0,0.43983402489626555,0.8257261410788381,0.941908713692946
naive,24487,3.0,0.21804511278195488,0.5451127819548872,0.8458646616541353
naive,24487,4.0,0.17712177121771217,0.46494464944649444,0.7785977859778598
