token_id,token_str,count,base_mean,delta_mean
3146, numbers,25,-4.257684808522463,-4.482985996454955
2214, field,29,-3.7908444753523107,-3.951400314949971
2041, special,38,-5.589462087987493,-3.93754635922041
308, g,23,-6.1808078081711475,-3.7980030800985265
1171, public,94,-4.132855016460761,-3.690589590097203
1271, number,98,-3.128070667697288,-3.5119428940792092
367, H,46,-4.434674675125912,-3.4980926013237843
327, C,65,-5.145605748318709,-3.496461077034474
1919, social,52,-4.423976732561221,-3.466932836060341
347, B,90,-3.983796841294194,-3.2865123564306282
662, pre,23,-6.8970392190891765,-3.278727736162102
1459, current,45,-5.7263669384850395,-3.246511316299438
2176, specific,25,-5.446715864967555,-3.2351853903569285
2995, events,28,-4.103015997457468,-3.2293443202070193
1627, line,43,-3.7525290669392803,-3.2061148810052846
1402, small,63,-5.115346581719461,-3.1872007912763998
900, set,70,-4.690482034611445,-3.186720314571306
399, N,36,-4.992959657787448,-3.1757827803699517
449, J,35,-5.045294271556694,-3.17227272370614
2839, private,32,-5.672622997095459,-3.1713033012092637
1729, non,42,-5.338039428173077,-3.1486445599723423
66,c,41,-3.6455603217785586,-3.135421804629448
2330, white,32,-5.263966042548418,-3.116791818290949
3951, lines,24,-4.731295478355605,-3.0730951999139506
2270, break,25,-5.509120881557465,-3.066571447849274
360, D,74,-3.772396225977777,-3.0621717151433763
2272, space,29,-4.540244771231865,-3.046445484819083
1021, hand,28,-3.559594375393187,-3.0443117159094464
520, St,39,-5.104926531418012,-3.0398074458233824
311, S,50,-4.515365418512374,-3.0059869602730034
2457, final,37,-3.751637409718053,-2.9973891972740354
1061, follow,27,-5.932855107166149,-2.9824323102279946
772, even,166,-4.711245439318289,-2.976069256308466
584, other,263,-3.3673949809342147,-2.975024269780449
262, the,9515,-1.56127215704616,-2.9647934543259087
277, f,32,-6.109275922179222,-2.9620640724897385
477, all,417,-3.7780269666878357,-2.9574076873470854
1957, local,49,-5.231879389635762,-2.9509444109791394
288, d,29,-5.6249685061389005,-2.9485485522911468
1633, air,33,-4.636508683250709,-2.932973938062787
2742, legal,47,-5.1284721351050315,-2.9284916561334686
1303, #,24,-4.099787144717993,-2.8998189952399116
