feature,arm,ref_c,budget_logppl,concept_at_budget
835,cds,1.0,5.2037036418914795,0.4666666666666667
835,clean,1.0,5.2037036418914795,0.0
835,denoise_naive,1.0,5.2037036418914795,0.6390104176210535
835,fsr,1.0,5.2037036418914795,0.4596900273734103
835,mts,1.0,5.2037036418914795,0.11266353783269085
835,naive,1.0,5.2037036418914795,0.4666666666666667
835,norm_preserving,1.0,5.2037036418914795,0.4666666666666667
3272,cds,1.0,5.716763575871785,0.7395120549494378
3272,clean,1.0,5.716763575871785,0.0
3272,denoise_naive,1.0,5.716763575871785,0.8044472546964516
3272,fsr,1.0,5.716763575871785,1.0
3272,mts,1.0,5.716763575871785,0.11826593969814184
3272,naive,1.0,5.716763575871785,1.0
3272,norm_preserving,1.0,5.716763575871785,0.5897921564680106
4151,cds,1.0,4.196756680806478,0.18059085878879577
4151,clean,1.0,4.196756680806478,0.16666666666666666
4151,denoise_naive,1.0,4.196756680806478,0.2
4151,fsr,1.0,4.196756680806478,0.24848474437430051
4151,mts,1.0,4.196756680806478,0.16666666666666666
4151,naive,1.0,4.196756680806478,0.2
4151,norm_preserving,1.0,4.196756680806478,0.18621883336968242
5843,cds,1.0,3.9741202036539716,0.40576373002193905
5843,clean,1.0,3.9741202036539716,0.06666666666666667
5843,denoise_naive,1.0,3.9741202036539716,0.3274002691888503
5843,fsr,1.0,3.9741202036539716,0.29627908757075
5843,mts,1.0,3.9741202036539716,0.1404131426396706
5843,naive,1.0,3.9741202036539716,0.29476629461957204
5843,norm_preserving,1.0,3.9741202036539716,0.292777300834232
7998,cds,1.0,4.374849716822307,0.49959886226242994
7998,clean,1.0,4.374849716822307,0.03333333333333333
7998,denoise_naive,1.0,4.374849716822307,0.6352979866725184
7998,fsr,1.0,4.374849716822307,0.6
7998,mts,1.0,4.374849716822307,0.04875929791405997
7998,naive,1.0,4.374849716822307,0.6
7998,norm_preserving,1.0,4.374849716822307,0.6047375774079372
8925,cds,1.0,4.671625018119812,0.20747629151562672
8925,clean,1.0,4.671625018119812,0.0
8925,denoise_naive,1.0,4.671625018119812,0.2501672845522087
8925,fsr,1.0,4.671625018119812,0.260396638119358
8925,mts,1.0,4.671625018119812,0.024193225980332154
8925,naive,1.0,4.671625018119812,0.5
8925,norm_preserving,1.0,4.671625018119812,0.3335303893486623
13094,cds,1.0,6.4401260693868005,0.2
13094,clean,1.0,6.4401260693868005,0.06666666666666667
13094,denoise_naive,1.0,6.4401260693868005,0.36666666666666664
13094,fsr,1.0,6.4401260693868005,0.5
13094,mts,1.0,6.4401260693868005,0.09871232486777748
13094,naive,1.0,6.4401260693868005,0.4666666666666667
13094,norm_preserving,1.0,6.4401260693868005,0.26666666666666666
14434,cds,1.0,5.528775405883789,0.702884995774647
14434,clean,1.0,5.528775405883789,0.0
14434,denoise_naive,1.0,5.528775405883789,0.7334206239619977
14434,fsr,1.0,5.528775405883789,0.7548905763336513
14434,mts,1.0,5.528775405883789,0.6762648464543946
14434,naive,1.0,5.528775405883789,0.7333333333333333
14434,norm_preserving,1.0,5.528775405883789,0.6333333333333333
15503,cds,1.0,4.901924872398377,0.28045410084788597
15503,clean,1.0,4.901924872398377,0.0
15503,denoise_naive,1.0,4.901924872398377,0.05952457947466239
15503,fsr,1.0,4.901924872398377,0.8985106266566284
15503,mts,1.0,4.901924872398377,0.03333333333333333
15503,naive,1.0,4.901924872398377,0.8785333706619638
15503,norm_preserving,1.0,4.901924872398377,0.029835482540853834
16355,cds,1.0,4.724490650494894,0.24638985639766392
16355,clean,1.0,4.724490650494894,0.03333333333333333
16355,denoise_naive,1.0,4.724490650494894,0.24985081710983004
16355,fsr,1.0,4.724490650494894,0.16514141992206482
16355,mts,1.0,4.724490650494894,0.0740717051082236
16355,naive,1.0,4.724490650494894,0.13333333333333333
16355,norm_preserving,1.0,4.724490650494894,0.13333333333333333
17590,cds,1.0,3.663394538561503,0.48613636132783006
17590,clean,1.0,3.663394538561503,0.4666666666666667
17590,denoise_naive,1.0,3.663394538561503,0.5333333333333333
17590,fsr,1.0,3.663394538561503,0.4921616102366879
17590,mts,1.0,3.663394538561503,0.49306731484416183
17590,naive,1.0,3.663394538561503,0.5039337181775589
17590,norm_preserving,1.0,3.663394538561503,0.49840098061298277
23860,cds,1.0,4.992749643325806,0.4162275207477364
23860,clean,1.0,4.992749643325806,0.2
23860,denoise_naive,1.0,4.992749643325806,0.45081195869400575
23860,fsr,1.0,4.992749643325806,0.6437772728159318
23860,mts,1.0,4.992749643325806,0.23248108181706675
23860,naive,1.0,4.992749643325806,0.6333333333333333
23860,norm_preserving,1.0,4.992749643325806,0.5078763756434179
