token_id,token_str,count,base_mean,delta_mean
3146, numbers,25,-4.257684808522463,-5.016726564615965
2041, special,38,-5.589462087987493,-4.460430328138357
2214, field,29,-3.7908444753523107,-4.421002846196769
308, g,23,-6.1808078081711475,-4.187647242908893
1171, public,94,-4.132855016460761,-4.144996860886904
1271, number,98,-3.128070667697288,-4.026329389521472
367, H,46,-4.434674675125912,-3.981164160169378
1919, social,52,-4.423976732561221,-3.9400005885041685
327, C,65,-5.145605748318709,-3.893557259784294
347, B,90,-3.983796841294194,-3.731695527349883
2176, specific,25,-5.446715864967555,-3.651475596744568
399, N,36,-4.992959657787448,-3.6206718754644207
1402, small,63,-5.115346581719461,-3.614190244455896
2995, events,28,-4.103015997457468,-3.6132126765753902
662, pre,23,-6.8970392190891765,-3.5900821608045828
1459, current,45,-5.7263669384850395,-3.581402884589302
900, set,70,-4.690482034611445,-3.5785285676057237
1627, line,43,-3.7525290669392803,-3.5760059656384455
2839, private,32,-5.672622997095459,-3.566583925501618
66,c,41,-3.6455603217785586,-3.559849620097538
449, J,35,-5.045294271556694,-3.516509811153602
2330, white,32,-5.263966042548418,-3.516323994845152
2272, space,29,-4.540244771231865,-3.4600984604451153
360, D,74,-3.772396225977777,-3.457232551254345
3951, lines,24,-4.731295478355605,-3.455649597279262
2270, break,25,-5.509120881557465,-3.452806656360627
1729, non,42,-5.338039428173077,-3.440647241437719
1021, hand,28,-3.559594375393187,-3.4281953021636586
520, St,39,-5.104926531418012,-3.405762254905242
2457, final,37,-3.751637409718053,-3.3888301783669235
3747, safety,29,-2.4206942928561554,-3.3803687727215284
1061, follow,27,-5.932855107166149,-3.3643386827574835
584, other,263,-3.3673949809342147,-3.3529866259299865
772, even,166,-4.711245439318289,-3.3399312089362843
1957, local,49,-5.231879389635762,-3.3386204270836037
311, S,50,-4.515365418512374,-3.335092329443432
477, all,417,-3.7780269666878357,-3.3331544179522665
1633, air,33,-4.636508683250709,-3.3165734260851005
262, the,9515,-1.56127215704616,-3.3146070098747487
2742, legal,47,-5.1284721351050315,-3.309857811223953
1303, #,24,-4.099787144717993,-3.303451241197763
288, d,29,-5.6249685061389005,-3.2986071407794952
1969, close,45,-4.679139945853805,-3.2763558188752446
670, work,141,-3.633836442802815,-3.2592300623358086
2116, self,28,-6.1429426457200735,-3.2525451225893827
275, b,36,-6.016687338085224,-3.244015899465821
277, f,32,-6.109275922179222,-3.235170628875494
1103, real,62,-4.993363461970735,-3.2287708579143883
251,�,849,-3.630767354013857,-3.197616716302181
2368, third,45,-4.733536607689327,-3.197126750151317
1029, high,87,-4.653097744278767,-3.1954121315860506
555, un,22,-5.986505367539146,-3.1859994043003423
257, a,4157,-2.103770130121611,-3.181143519582659
511, their,480,-2.7227561508385407,-3.175600254769233
1281, post,67,-4.604082307760923,-3.174367529287962
968, New,96,-4.085325232733642,-3.1737546127236183
1400, No,50,-4.4035253182565794,-3.171757054687477
2615, building,32,-4.418274941854179,-3.16988090146333
302, re,26,-6.487941796963032,-3.1485753242786103
4268, drop,21,-4.0518277649368555,-3.1399547549940294
2520, South,27,-4.79931405628169,-3.0970455231489957
886, end,86,-3.4657047039471824,-3.085992998930864
645, no,254,-3.598716393820852,-3.0774415369872825
71,h,29,-2.675420230056951,-3.07428490910526
58,[,26,-5.874101464564983,-3.06567130639003
4384, debate,24,-4.293461663027604,-3.057693224400282
2055, community,45,-3.946322073870235,-3.057066299233379
1336, full,49,-5.134872573370836,-3.0544106680519727
1877, low,42,-5.051885327634712,-3.0460820174554284
845, very,167,-4.672278475250581,-3.0271548489568767
1445, move,39,-4.450292683564699,-3.018964820947403
1351, list,31,-3.816170924253041,-3.0097424603938574
869, call,34,-3.51507952976424,-2.991182967955384
265,at,46,-3.40706518132356,-2.98297063043751
986,...,32,-5.9394618682563305,-2.9752823747694492
3002, cover,21,-5.276368670520329,-2.9666169736356967
65,b,53,-2.3578736183281883,-2.962195897556156
3190, completely,23,-6.21372073629628,-2.9609969491543984
67,d,61,-2.7005955609042087,-2.9594982335733753
1448, group,82,-3.2125114048036134,-2.959180204788359
1111, both,96,-5.480814730127652,-2.9550461408992605
407, not,675,-2.6701349484906705,-2.9527298558840775
569, V,31,-4.8131293428521005,-2.945208233691031
509, K,65,-3.8060315256293578,-2.9325049195725184
2694, ability,21,-4.050652985061918,-2.9313879751023793
1743, official,32,-3.907387720857514,-2.928934446972562
406, L,75,-4.270150566585362,-2.9161856877555454
4137, forced,21,-5.128322338990291,-2.9131539958540262
2184, court,44,-3.172006571538408,-2.9090713695622976
530, one,443,-4.014426953543699,-2.9066945458707494
852, being,197,-3.7001457559318593,-2.906215269936852
2060, single,49,-4.4904439246700125,-2.9043517819206635
448,out,21,-2.285432657526274,-2.9011120185688406
1479, free,76,-4.253796160229524,-2.900524808288825
1790, short,40,-4.13831004363019,-2.8953058078419422
2723, source,36,-3.8698502269851613,-2.87658856366761
402, G,60,-4.696560917732616,-2.8720689743136365
3271, David,34,-5.075869758120355,-2.8681477906511104
517, more,471,-3.2497388861078638,-2.8516035391187535
