matching,d_logppl,logppl_lo95,logppl_hi95,d_concept,concept_lo95,concept_hi95,p_dominates,n_cells,n_features
equal norm (same c),-1.7523466432398118,-2.4930066996016023,-1.0618259047613379,0.20509259259259258,-0.009259259259259252,0.42916666666666664,0.97,72,12
equal concept coordinate (naive at cos*c),-1.53555612470357,-2.1706725331638785,-0.9252478424208056,0.1662799001291946,-0.045958427942047506,0.38215199266180944,0.942,72,12
