arm,c,nll,top1_acc,n_features,nll_delta_vs_c0,acc_delta_vs_c0
dirfix,0.0,3.1771211894914217,0.4066470588235294,4,0.0,0.0
dirfix,0.5,3.3772600193397673,0.383921568627451,4,0.20013882984834552,-0.02272549019607839
dirfix,1.0,4.760676834405637,0.25965196078431374,4,1.5835556449142154,-0.14699509803921568
dirfix,1.5,7.210481588924632,0.13256372549019607,4,4.03336039943321,-0.27408333333333335
dirfix,2.0,9.71640278416054,0.07345588235294116,4,6.539281594669118,-0.33319117647058827
dirfix,3.0,13.24897386259191,0.022205882352941176,4,10.071852673100489,-0.38444117647058823
dirfix,4.0,15.842723958333334,0.012137254901960784,4,12.665602768841913,-0.39450980392156865
dirfix,5.0,17.816980009191177,0.01077450980392157,4,14.639858819699755,-0.39587254901960783
naive,0.0,3.1771211894914217,0.4066470588235294,4,0.0,0.0
naive,0.5,3.4365454388786767,0.3770294117647059,4,0.25942424938725495,-0.029617647058823526
naive,1.0,4.523164139093137,0.25826960784313724,4,1.3460429496017157,-0.14837745098039218
naive,1.5,6.21468568091299,0.17761764705882355,4,3.0375644914215685,-0.22902941176470587
naive,2.0,7.859901328890931,0.1264264705882353,4,4.68278013939951,-0.2802205882352941
naive,3.0,10.146898992800246,0.04421078431372549,4,6.9697778033088245,-0.3624362745098039
naive,4.0,11.58226097196691,0.028151960784313722,4,8.405139782475489,-0.3784950980392157
naive,5.0,12.487916168811275,0.026151960784313727,4,9.310794979319853,-0.38049509803921566
rotate,0.0,3.177121266084559,0.4066470588235294,4,0.0,0.0
rotate,0.5,3.46894908471201,0.3734019607843137,4,0.2918278186274512,-0.033245098039215715
rotate,1.0,5.23973450903799,0.21518627450980393,4,2.062613242953431,-0.19146078431372549
rotate,1.5,9.466565860523898,0.08702450980392157,4,6.28944459443934,-0.31962254901960785
rotate,2.0,12.737905445772059,0.02657843137254902,4,9.5607841796875,-0.3800686274509804
rotate,3.0,17.049746553308825,0.013931372549019608,4,13.872625287224267,-0.3927156862745098
rotate,4.0,17.67161910232843,0.02008823529411765,4,14.494497836243873,-0.3865588235294118
rotate,5.0,17.901930606617647,0.02448039215686274,4,14.724809340533088,-0.38216666666666665
shared,0.0,3.1771211894914217,0.4066470588235294,4,0.0,0.0
shared,0.5,3.384176427504596,0.3822156862745098,4,0.20705523801317405,-0.024431372549019614
shared,1.0,5.344731636795343,0.24304901960784314,4,2.1676104473039213,-0.16359803921568628
shared,1.5,10.103585248161764,0.09175,4,6.9264640586703425,-0.3148970588235294
shared,2.0,15.69970645680147,0.02857843137254902,4,12.522585267310049,-0.3780686274509804
shared,3.0,22.3369739966299,0.005691176470588235,4,19.159852807138478,-0.40095588235294116
shared,4.0,24.771968328737746,0.0022500000000000003,4,21.594847139246323,-0.40439705882352944
shared,5.0,25.611861481311276,0.0015490196078431372,4,22.434740291819853,-0.40509803921568627
shared_only,0.0,3.1771211894914217,0.4066470588235294,4,0.0,0.0
shared_only,0.5,3.3830245672487744,0.38119117647058826,4,0.20590337775735268,-0.02545588235294116
shared_only,1.0,4.374428835401348,0.3077156862745098,4,1.1973076459099263,-0.09893137254901962
shared_only,1.5,6.603204704733456,0.18675490196078431,4,3.4260835152420346,-0.2198921568627451
shared_only,2.0,8.656594841452206,0.08076960784313725,4,5.4794736519607845,-0.32587745098039217
shared_only,3.0,9.396366536458334,0.015848039215686276,4,6.219245346966913,-0.39079901960784313
shared_only,4.0,9.094454350490196,0.005401960784313726,4,5.9173331609987745,-0.4012450980392157
shared_only,5.0,9.089627604166665,0.0025637254901960784,4,5.912506414675244,-0.40408333333333335
