token_id,token_str,count,base_mean,delta_mean
3641, center,29,-4.165084661273607,-5.874271677293141
251,�,849,-3.630767354013857,-5.668670698506176
13750, riders,21,-2.170192008926755,-5.254474316324506
3516, guy,29,-3.7688086156187386,-4.986441090189178
3146, numbers,25,-4.257684808522463,-4.904058460444212
2472, total,31,-4.4586989842054825,-4.865046593300517
5349, FBI,25,-4.228523840904236,-4.752343503236771
2368, third,45,-4.733536607689327,-4.506212468942007
2506, everyone,44,-5.216752525080334,-4.486319459297439
2457, final,37,-3.751637409718053,-4.437445702534672
1978, together,41,-3.1809163678937207,-4.413190040442093
3349, growth,28,-3.1822082764868225,-4.381067997376833
3160, lives,41,-2.8536950550013698,-4.36732648834075
1143,ized,25,-0.8265795323438943,-4.363891613762826
1334, rest,28,-4.712764214647385,-4.3033178571848625
1918, death,49,-3.4896826674800594,-4.274180777760565
3227, production,32,-5.160521324723959,-4.257893074303865
1641, family,58,-3.5321053148985935,-4.253543658438941
4045, overall,26,-4.972572970848817,-4.229023014123624
2648, share,47,-3.5320242652842935,-4.217184210396768
4640, executive,30,-4.3472126503785455,-4.189568587144216
4445, daily,24,-4.947309881053418,-4.181029782715389
1743, official,32,-3.907387720857514,-4.16775517971837
3859, platform,24,-4.546068588892619,-4.138858695824941
3685, violence,32,-2.9307637790916488,-4.129207622609101
1429, process,54,-2.6638318595510944,-4.125624467101362
2055, community,45,-3.946322073870235,-4.1157436658938735
3794, India,38,-2.71587287121771,-4.1072978722728095
1175, war,30,-3.8852788998202112,-4.106980058201588
3957, growing,26,-5.919207033056479,-4.065879224584653
1222, &,39,-4.405894994162596,-4.056645402732569
2643, statement,47,-2.338886577358588,-4.0446122758328285
1807, thought,45,-4.360624153084225,-4.0245959507094495
2311, Sen,21,-5.089213978676569,-4.021193737075442
4477, continues,28,-4.690834281134552,-3.992705106768491
2406, coming,39,-4.588552428743778,-3.987355266243984
56,Y,23,-3.23543610085756,-3.9832875137211015
4395, shooting,25,-3.9015673727542164,-3.966675857827067
886, end,86,-3.4657047039471824,-3.956184291362026
1123, each,73,-4.40979669655973,-3.950473576635825
4899, tools,27,-3.482935066576357,-3.9457296927769976
3250, Park,24,-1.754678422541474,-3.890262212395707
2723, source,36,-3.8698502269851613,-3.8831850511778607
790, every,113,-4.617872429265748,-3.8625717267468245
2540, began,36,-3.9689954585499234,-3.8494071298175387
1803, press,37,-4.825024290973119,-3.842422719233091
2342, watch,32,-2.9354934482453245,-3.8411314231725555
3690, throughout,25,-5.362991241216659,-3.8249612987041486
1204, life,119,-2.7646704198589096,-3.8221745396330324
2650, release,31,-3.362086248002015,-3.7959078256634156
14,/,253,-2.070272703772724,-3.7845430271909595
3190, completely,23,-6.21372073629628,-3.770512995512589
3356, movement,29,-4.161008815570124,-3.7644318966516135
2795, June,37,-4.172865021067697,-3.7421137191153857
2986, San,35,-3.707828726642765,-3.716354636931127
1998, experience,38,-3.952779894645669,-3.712785423537226
2081, true,24,-4.817630548068943,-3.7062821765818326
1621, story,62,-3.3134643765600145,-3.6801704016050336
1573, word,32,-3.938845012231468,-3.670161985897721
2936, felt,25,-4.894436283111572,-3.6592765617370606
3265, population,30,-3.902739679813385,-3.6590552548567454
1644, police,48,-3.5086105396039784,-3.657463214825839
3315, medical,26,-5.297970050990653,-3.6362379604072963
2214, field,29,-3.7908444753523107,-3.629687669189573
477, all,417,-3.7780269666878357,-3.6263418873930875
1863, along,41,-5.230617763883457,-3.609287913888693
3337, Center,27,-2.2838881592249014,-3.5713768703776796
1625, came,54,-4.275128062055619,-3.569563551150538
1257, fun,22,-4.644715393131429,-3.5665560554374345
763, co,27,-5.966002976452863,-3.555824156160707
399, N,36,-4.992959657787448,-3.5473299660823407
2279, everything,27,-5.434055618665837,-3.5435483290089502
3280, answer,27,-3.402040834480431,-3.5426469400279323
1111, both,96,-5.480814730127652,-3.542007252573968
583, per,83,-2.551175652868507,-3.525450657099396
1168, Z,23,-4.631803054666228,-3.50739311153555
2555, continue,33,-3.8288600140045728,-3.5044792779870364
636, part,109,-3.3701441468550275,-3.4940710612257666
82,s,1347,-1.0991727580821435,-3.485519841713367
2488, @,22,-3.0159699901599777,-3.484059254046191
1176, power,71,-4.179702754677634,-3.482180744661248
3437, director,36,-2.768945355951372,-3.4814554695557387
2423, review,28,-3.382026837606515,-3.460275332576462
2982, heard,30,-3.163097900967114,-3.4572585666474573
739, under,86,-5.011919519092094,-3.449476595592028
1865, yet,54,-4.681518636919834,-3.4263868216011266
3988, kids,37,-4.471637279600711,-3.4100169346139237
989, report,69,-2.6727839438194083,-3.406304341084594
2258, North,33,-3.9695647634340054,-3.404665570819017
