arm,n_cells,n_features,d_logppl,logppl_lo95,logppl_hi95,d_concept,concept_lo95,concept_hi95,p_dominates
shared,48,12,-1.9138104749015634,-2.3112997575062844,-1.5437598854463757,0.19930555555555554,0.044427083333333325,0.3451388888888889,0.995
dirfix,48,12,-0.7875647385294239,-1.0952873342867113,-0.48969785612076516,0.15416666666666667,0.06458333333333334,0.2541840277777777,1.0
